Column1,Column2,,CTDT_charge.Tr1221,CTDT_secondarystruct.Tr1221,CTDT_solventaccess.Tr1331,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_polarizability.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,PAAC_Xc1.C,CTDD_hydrophobicity_ZIMJ680101.2.residue25
AMQ30893_KAZ005OJJ_Avian_2014.641667,A,KAZ005OJJ,0.14920071,0.23268206,0.193605684,0.156305506,0.170515098,0.143872114,0.25044405,0.293072824,11.71229878,17.37588652
AGC73810_KPX975OFS_Avian_2011.622222,A,KPX975OFS,0.145648313,0.234458259,0.190053286,0.161634103,0.1669627,0.142095915,0.246891652,0.287744227,11.70970048,18.08510638
AHZ43145_UXO727CKS_Avian_2012.802778,A,UXO727CKS,0.143872114,0.234458259,0.191829485,0.159857904,0.1669627,0.142095915,0.246891652,0.287744227,11.72303452,18.08510638
AGC73777_OEQ293HHE_Avian_2011.633333,A,OEQ293HHE,0.145648313,0.23268206,0.190053286,0.158081705,0.1669627,0.140319716,0.246891652,0.287744227,11.72786689,18.08510638
AKF35381_BVA729OOG_Avian_2013.894444,A,BVA729OOG,0.147424512,0.230905861,0.190053286,0.159857904,0.1669627,0.145648313,0.246891652,0.289520426,11.70946631,17.37588652
AGC73821_KWQ223JMK_Avian_2011.641667,A,KWQ223JMK,0.145648313,0.23268206,0.190053286,0.161634103,0.165186501,0.142095915,0.248667851,0.285968028,11.71022752,18.08510638
AHZ43853_SMJ711YHF_Avian_2012.858333,A,SMJ711YHF,0.147424512,0.230905861,0.193605684,0.159857904,0.1669627,0.147424512,0.246891652,0.287744227,11.7186232,18.08510638
AMQ29684_JIX387PEV_Avian_2011.611111,A,JIX387PEV,0.150976909,0.236234458,0.190053286,0.158081705,0.168738899,0.140319716,0.245115453,0.285968028,11.70861315,17.37588652
AMQ29720_GMD558QRA_Avian_2011.611111,A,GMD558QRA,0.14920071,0.236234458,0.190053286,0.158081705,0.168738899,0.140319716,0.245115453,0.285968028,11.71153247,17.37588652
AMQ29852_MVN294GQG_Avian_2011.611111,A,MVN294GQG,0.147424512,0.234458259,0.190053286,0.158081705,0.1669627,0.138543517,0.243339254,0.287744227,11.71273544,17.37588652
AMQ29816_UMO615KBD_Avian_2011.611111,A,UMO615KBD,0.147424512,0.234458259,0.190053286,0.158081705,0.1669627,0.140319716,0.243339254,0.287744227,11.71268459,17.37588652
AMQ29828_RUW873DIG_Avian_2011.611111,A,RUW873DIG,0.150976909,0.236234458,0.188277087,0.156305506,0.170515098,0.140319716,0.243339254,0.287744227,11.68970974,17.37588652
AMQ29924_VWI955LXQ_Avian_2011.611111,A,VWI955LXQ,0.150976909,0.236234458,0.193605684,0.161634103,0.168738899,0.147424512,0.245115453,0.289520426,11.68990266,17.37588652
AMQ29936_PUO906AGU_Avian_2011.611111,A,PUO906AGU,0.145648313,0.234458259,0.191829485,0.158081705,0.168738899,0.143872114,0.248667851,0.285968028,11.71604863,17.37588652
AMQ29876_WAX281LIH_Avian_2011.611111,A,WAX281LIH,0.147424512,0.236234458,0.193605684,0.158081705,0.168738899,0.142095915,0.245115453,0.285968028,11.71019667,17.37588652
AMQ29708_CTG471BBJ_Avian_2011.611111,A,CTG471BBJ,0.147424512,0.234458259,0.190053286,0.159857904,0.168738899,0.140319716,0.241563055,0.291296625,11.70925746,18.08510638
AMQ32202_TWM923VFV_Avian_2011.552778,A,TWM923VFV,0.14920071,0.234458259,0.190053286,0.158081705,0.1669627,0.138543517,0.243339254,0.287744227,11.71358294,17.37588652
AMQ29792_XXS948KZP_Avian_2011.611111,A,XXS948KZP,0.150976909,0.23268206,0.190053286,0.158081705,0.170515098,0.142095915,0.243339254,0.282415631,11.72655564,18.08510638
AMQ29840_LEJ889ZMS_Avian_2011.611111,A,LEJ889ZMS,0.150976909,0.234458259,0.190053286,0.159857904,0.168738899,0.140319716,0.245115453,0.280639432,11.71824997,18.08510638
AMQ29696_HYT131AAW_Avian_2011.611111,A,HYT131AAW,0.150976909,0.234458259,0.190053286,0.158081705,0.170515098,0.140319716,0.243339254,0.282415631,11.71988358,18.08510638
AMQ29672_UJS033PIF_Avian_2011.611111,A,UJS033PIF,0.150976909,0.236234458,0.190053286,0.159857904,0.172291297,0.138543517,0.241563055,0.285968028,11.71895173,18.08510638
AGE01022_IOR968SCR_Avian_2010.752778,A,IOR968SCR,0.147424512,0.230905861,0.190053286,0.163410302,0.1669627,0.143872114,0.243339254,0.291296625,11.69276406,17.37588652
AGE01000_CMW536YWI_Avian_2010.752778,A,CMW536YWI,0.14920071,0.236234458,0.190053286,0.161634103,0.168738899,0.142095915,0.238010657,0.285968028,11.69660038,17.0212766
AGE02999_PAK257CHJ_Avian_2010.755556,A,PAK257CHJ,0.147424512,0.23268206,0.191829485,0.159857904,0.1669627,0.142095915,0.243339254,0.287744227,11.70065477,17.37588652
AHL82333_AOK028HOD_Avian_2011.936111,A,AOK028HOD,0.150976909,0.23268206,0.190053286,0.159857904,0.170515098,0.145648313,0.243339254,0.287744227,11.69238051,17.37588652
AHL82441_DIA334LEX_Avian_2011.941667,A,DIA334LEX,0.150976909,0.230905861,0.190053286,0.159857904,0.170515098,0.143872114,0.243339254,0.287744227,11.69269761,17.37588652
AHL82309_HFU219AZI_Avian_2011.936111,A,HFU219AZI,0.154529307,0.23268206,0.190053286,0.159857904,0.170515098,0.145648313,0.243339254,0.287744227,11.66560569,17.37588652
AMX73132_WIY965QZQ_Avian_2011.683333,A,WIY965QZQ,0.150976909,0.230905861,0.190053286,0.159857904,0.174067496,0.147424512,0.239786856,0.291296625,11.67604568,18.08510638
AMX73156_WTK960UKC_Avian_2011.705556,A,WTK960UKC,0.150976909,0.229129663,0.190053286,0.163410302,0.168738899,0.147424512,0.241563055,0.291296625,11.6675975,18.08510638
AHL81625_HBB139LIX_Avian_2011.863889,A,HBB139LIX,0.147424512,0.230905861,0.191829485,0.159857904,0.1669627,0.145648313,0.243339254,0.287744227,11.70014497,17.37588652
AHL82802_JQW652FIG_Avian_2011.808333,A,JQW652FIG,0.147424512,0.230905861,0.190053286,0.159857904,0.1669627,0.145648313,0.243339254,0.287744227,11.6964873,17.37588652
ATY72964_VYW201HTT_Avian_2016.966667,A,VYW201HTT,0.147424512,0.238010657,0.191829485,0.161634103,0.1669627,0.138543517,0.243339254,0.289520426,11.70988542,17.37588652
AHZ43390_TZM063UHJ_Avian_2012.936111,A,TZM063UHJ,0.147424512,0.23268206,0.190053286,0.159857904,0.1669627,0.142095915,0.243339254,0.287744227,11.71005488,17.37588652
AGE03133_KRJ976YET_Avian_2010.863889,A,KRJ976YET,0.147424512,0.236234458,0.193605684,0.159857904,0.1669627,0.142095915,0.243339254,0.291296625,11.69774832,17.37588652
AEM75713_JFS988TDU_Avian_2009.763889,A,JFS988TDU,0.14920071,0.23268206,0.193605684,0.163410302,0.1669627,0.142095915,0.246891652,0.293072824,11.69130253,18.08510638
AGG82157_YQZ308BEW_Avian_2010.702778,A,YQZ308BEW,0.145648313,0.23268206,0.193605684,0.163410302,0.1669627,0.142095915,0.25044405,0.287744227,12.4941028,18.08510638
AHL82159_GGL862DEF_Avian_2011.791667,A,GGL862DEF,0.145648313,0.234458259,0.190053286,0.159857904,0.1669627,0.142095915,0.246891652,0.287744227,11.71402009,18.08510638
ACY80607_YTN148EPR_Avian_2006,A,YTN148EPR,0.145315488,0.233269598,0.193116635,0.154875717,0.154875717,0.143403442,0.24665392,0.286806883,10.91040797,20.41984733
ACV90693_XDL779QTW_Avian_2006,A,XDL779QTW,0.145648313,0.23268206,0.191829485,0.154529307,0.1669627,0.140319716,0.25044405,0.284191829,11.71005312,18.08510638
ACV90703_TTT733BZV_Avian_2006,A,TTT733BZV,0.145648313,0.23268206,0.191829485,0.158081705,0.1669627,0.140319716,0.25044405,0.287744227,11.70649886,18.08510638
ACR09621_QGM381JKB_Avian_2006,A,QGM381JKB,0.14920071,0.23268206,0.191829485,0.158081705,0.170515098,0.143872114,0.246891652,0.284191829,11.70404082,18.08510638
ACY80605_PEM980OYC_Avian_2006,A,PEM980OYC,0.145648313,0.23268206,0.193605684,0.158081705,0.168738899,0.142095915,0.248667851,0.285968028,11.71198946,18.08510638
AMQ30236_CTX783IRV_Avian_2007.488889,A,CTX783IRV,0.147424512,0.236234458,0.193605684,0.154529307,0.170515098,0.145648313,0.246891652,0.289520426,11.71258086,18.08510638
AMQ31144_IOZ719NRA_Avian_2014.919444,A,IOZ719NRA,0.145648313,0.23268206,0.186500888,0.158081705,0.168738899,0.142095915,0.241563055,0.296625222,11.71137305,18.08510638
ACV90813_PTX374IZB_Avian_2006,A,PTX374IZB,0.145648313,0.230905861,0.190053286,0.161634103,0.1669627,0.142095915,0.25044405,0.287744227,11.70204183,18.08510638
ACY80621_SCI308PLY_Avian_2006,A,SCI308PLY,0.14920071,0.23268206,0.190053286,0.158081705,0.168738899,0.143872114,0.248667851,0.282415631,11.70802208,18.08510638
ACV90983_MHL172LNN_Avian_2006,A,MHL172LNN,0.145648313,0.234458259,0.190053286,0.161634103,0.1669627,0.142095915,0.25044405,0.284191829,11.70954397,18.08510638
ACV90993_WEB321OTV_Avian_2006,A,WEB321OTV,0.145648313,0.23268206,0.188277087,0.159857904,0.168738899,0.140319716,0.248667851,0.284191829,11.705027,18.08510638
ACV90943_KFR948DTY_Avian_2006,A,KFR948DTY,0.145648313,0.23268206,0.191829485,0.158081705,0.1669627,0.142095915,0.253996448,0.284191829,11.7132751,18.08510638
AEB39731_MQB102QTN_Avian_2007,A,MQB102QTN,0.147424512,0.229129663,0.190053286,0.158081705,0.163410302,0.143872114,0.25044405,0.282415631,11.71398979,18.79432624
AMQ30272_YZM266CTC_Avian_2007.55,A,YZM266CTC,0.145648313,0.230905861,0.190053286,0.158081705,0.163410302,0.142095915,0.25044405,0.282415631,11.71741859,18.79432624
ACV90873_HLX816TSD_Avian_2006,A,HLX816TSD,0.147424512,0.229129663,0.191829485,0.156305506,0.165186501,0.145648313,0.248667851,0.284191829,11.71226498,18.79432624
AGI65045_FJF599XXB_Avian_2006.963889,A,FJF599XXB,0.145648313,0.230905861,0.190053286,0.159857904,0.168738899,0.142095915,0.245115453,0.289520426,11.70581744,18.79432624
ACR09522_GKS250GFQ_Avian_2007,A,GKS250GFQ,0.145648313,0.234458259,0.190053286,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.71627933,18.08510638
ACV90613_LOU011SPB_Avian_2006,A,LOU011SPB,0.145648313,0.23268206,0.190053286,0.156305506,0.168738899,0.143872114,0.248667851,0.285968028,11.71254034,18.08510638
AGD99794_WCE683YBE_Avian_2010.733333,A,WCE683YBE,0.145648313,0.23268206,0.190053286,0.159857904,0.1669627,0.140319716,0.246891652,0.287744227,11.72304389,18.08510638
ACV90903_OHI806ZQN_Avian_2006,A,OHI806ZQN,0.143872114,0.236234458,0.190053286,0.161634103,0.1669627,0.147424512,0.253996448,0.287744227,11.71527972,18.08510638
AHL83056_LUS703EIO_Avian_2012.044444,A,LUS703EIO,0.147424512,0.23268206,0.188277087,0.156305506,0.1669627,0.145648313,0.257548845,0.287744227,11.69726242,17.37588652
ACR09434_UNZ312CSA_Avian_2007,A,UNZ312CSA,0.145648313,0.234458259,0.188277087,0.154529307,0.170515098,0.138543517,0.246891652,0.287744227,11.71634382,18.08510638
ACV90563_SIQ692OQG_Avian_2007,A,SIQ692OQG,0.142095915,0.230905861,0.188277087,0.158081705,0.168738899,0.142095915,0.248667851,0.289520426,11.72746958,18.08510638
ACR09566_OND125WCL_Avian_2006,A,OND125WCL,0.145648313,0.236234458,0.188277087,0.159857904,0.172291297,0.142095915,0.245115453,0.285968028,11.70128212,18.08510638
ACX55367_GXZ844GAM_Avian_2005.633333,A,GXZ844GAM,0.145648313,0.230905861,0.191829485,0.154529307,0.170515098,0.143872114,0.25044405,0.284191829,11.71792399,17.37588652
ACY80612_BNY684IMU_Avian_2007,A,BNY684IMU,0.145648313,0.230905861,0.190053286,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.71422154,18.08510638
ACR09577_XCQ094GAV_Avian_2006,A,XCQ094GAV,0.145648313,0.23268206,0.191829485,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.72097277,18.08510638
AFU10231_CQK795QPP_Avian_2010.9,A,CQK795QPP,0.142095915,0.229129663,0.191829485,0.156305506,0.168738899,0.140319716,0.248667851,0.285968028,11.72547033,18.08510638
ACR09599_KYS788CDT_Avian_2006,A,KYS788CDT,0.145648313,0.236234458,0.191829485,0.158081705,0.170515098,0.142095915,0.246891652,0.289520426,11.71420722,18.79432624
AHH00900_MXB159HUH_Avian_2008.083333,A,MXB159HUH,0.150976909,0.23268206,0.193605684,0.158081705,0.174067496,0.140319716,0.246891652,0.284191829,11.69877543,18.08510638
ACV90743_UJZ875JDY_Avian_2007,A,UJZ875JDY,0.14920071,0.234458259,0.190053286,0.156305506,0.168738899,0.145648313,0.252220249,0.285968028,11.69478308,18.08510638
ACV90973_FXC353CMJ_Avian_2006,A,FXC353CMJ,0.145648313,0.23268206,0.188277087,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.70913305,18.08510638
ACV91053_CBT187DQJ_Avian_2006,A,CBT187DQJ,0.145648313,0.23268206,0.190053286,0.156305506,0.168738899,0.145648313,0.248667851,0.287744227,11.71255107,18.08510638
ACV90593_XPP292LBI_Avian_2006,A,XPP292LBI,0.145648313,0.23268206,0.191829485,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.72378808,18.08510638
ACV90763_HNI411HMO_Avian_2007,A,HNI411HMO,0.147424512,0.23268206,0.190053286,0.159857904,0.172291297,0.142095915,0.248667851,0.287744227,11.70718294,18.08510638
ACY80608_JIK354AOA_Avian_2006,A,JIK354AOA,0.150976909,0.234458259,0.191829485,0.158081705,0.172291297,0.138543517,0.248667851,0.285968028,11.70872994,18.08510638
ADU20361_GSK186PYQ_Avian_2008.819444,A,GSK186PYQ,0.14920071,0.23268206,0.190053286,0.154529307,0.170515098,0.142095915,0.25044405,0.284191829,11.71402663,18.08510638
AEM75476_VQM747QPL_Avian_2009.794444,A,VQM747QPL,0.14920071,0.23268206,0.190053286,0.154529307,0.174067496,0.143872114,0.25044405,0.282415631,11.71436618,18.08510638
AEK70720_GKA330LWG_Avian_2007.680556,A,GKA330LWG,0.152753108,0.23268206,0.190053286,0.156305506,0.172291297,0.143872114,0.248667851,0.284191829,11.71612236,18.79432624
AMQ26451_SXH015KQS_Avian_2007.988889,A,SXH015KQS,0.14920071,0.23268206,0.190053286,0.159857904,0.172291297,0.140319716,0.252220249,0.282415631,12.47363887,18.08510638
AMQ26452_LJS613LKB_Avian_2007.988889,A,LJS613LKB,0.152753108,0.23268206,0.190053286,0.156305506,0.174067496,0.143872114,0.246891652,0.284191829,11.69594461,18.08510638
ACV90603_FEM181LDP_Avian_2006,A,FEM181LDP,0.14920071,0.238010657,0.190053286,0.159857904,0.174067496,0.140319716,0.25044405,0.284191829,11.68496112,18.08510638
ACZ36898_ONF428OYH_Avian_2006,A,ONF428OYH,0.147424512,0.234458259,0.188277087,0.152753108,0.168738899,0.140319716,0.252220249,0.284191829,11.70436086,18.08510638
ACZ48589_ROE166PMG_Avian_2006,A,ROE166PMG,0.147424512,0.23268206,0.188277087,0.156305506,0.170515098,0.142095915,0.25044405,0.285968028,11.70669387,18.08510638
ACV90923_SZZ319ZMX_Avian_2006,A,SZZ319ZMX,0.147424512,0.234458259,0.188277087,0.156305506,0.170515098,0.142095915,0.25044405,0.285968028,11.70370054,18.08510638
ACV90843_EID289YXH_Avian_2006,A,EID289YXH,0.145648313,0.23268206,0.191829485,0.156305506,0.165186501,0.142095915,0.248667851,0.285968028,11.71037926,18.08510638
ACV90953_YAF878XCJ_Avian_2006,A,YAF878XCJ,0.150976909,0.234458259,0.190053286,0.156305506,0.168738899,0.138543517,0.248667851,0.285968028,11.70666923,17.0212766
AEK70671_TWU938RAV_Avian_2006.647222,A,TWU938RAV,0.147810219,0.229927007,0.191605839,0.151459854,0.158759124,0.142335766,0.251824818,0.277372263,11.72746349,19.12568306
ACM66774_HGJ225DDP_Avian_2004,A,HGJ225DDP,0.14920071,0.230905861,0.190053286,0.154529307,0.168738899,0.145648313,0.248667851,0.282415631,11.69956393,18.79432624
AKI34359_EOJ108EWO_Avian_2014.083333,A,EOJ108EWO,0.143872114,0.23268206,0.188277087,0.161634103,0.159857904,0.142095915,0.243339254,0.291296625,11.72350487,18.08510638
AHZ43970_RSH605DLE_Avian_2012.877778,A,RSH605DLE,0.141323792,0.228980322,0.189624329,0.15921288,0.164579606,0.14490161,0.24686941,0.293381038,10.95473912,18.21428571
ACY80610_RWC422NAA_Avian_2006,A,RWC422NAA,0.145648313,0.23268206,0.186500888,0.154529307,0.172291297,0.142095915,0.248667851,0.285968028,11.71131751,18.08510638
AEK70472_NGX881WLY_Avian_2005.713889,A,NGX881WLY,0.126245847,0.215946844,0.189368771,0.139534884,0.136212625,0.142857143,0.262458472,0.292358804,8.600702542,16.88741722
ABQ43787_BSG963TEB_Avian_2005.833333,A,BSG963TEB,0.143872114,0.229129663,0.197158082,0.154529307,0.165186501,0.143872114,0.252220249,0.289520426,11.74007095,18.08510638
ACR09533_FLJ643WMS_Avian_2006,A,FLJ643WMS,0.145648313,0.23268206,0.193605684,0.158081705,0.161634103,0.142095915,0.248667851,0.282415631,11.7135074,17.37588652
ACR09456_HMA616JAC_Avian_2007,A,HMA616JAC,0.145648313,0.23268206,0.191829485,0.156305506,0.168738899,0.142095915,0.248667851,0.285968028,11.72248996,18.08510638
ACV90793_GLG834AFG_Avian_2006,A,GLG834AFG,0.14920071,0.23268206,0.191829485,0.159857904,0.168738899,0.143872114,0.245115453,0.289520426,11.70752179,20.92198582
AFU10242_KZE799FMV_Avian_2010.902778,A,KZE799FMV,0.142095915,0.23268206,0.190053286,0.158081705,0.168738899,0.140319716,0.248667851,0.285968028,11.71128067,18.08510638
ACV90963_ZNR488UAM_Avian_2006,A,ZNR488UAM,0.145648313,0.23268206,0.190053286,0.156305506,0.168738899,0.143872114,0.248667851,0.287744227,11.71376936,18.08510638
AHL82604_EWO712YGT_Avian_2011.869444,A,EWO712YGT,0.14920071,0.234458259,0.190053286,0.156305506,0.170515098,0.142095915,0.25044405,0.284191829,11.70971735,18.08510638
ACY80609_QTD117YAI_Avian_2006,A,QTD117YAI,0.149139579,0.233269598,0.191204589,0.156787763,0.158699809,0.147227533,0.24665392,0.286806883,10.90459449,20.41984733
ACZ36871_EBA000IGL_Avian_2004,A,EBA000IGL,0.145648313,0.23268206,0.190053286,0.158081705,0.168738899,0.142095915,0.252220249,0.284191829,11.70185229,18.08510638
AMQ30116_TCQ388BCD_Avian_2006.466667,A,TCQ388BCD,0.145648313,0.23268206,0.197158082,0.159857904,0.165186501,0.143872114,0.252220249,0.285968028,11.71439903,17.37588652
AEB66669_FCW268LZX_Avian_2004,A,FCW268LZX,0.142095915,0.230905861,0.190053286,0.159857904,0.170515098,0.142095915,0.25044405,0.285968028,11.71005329,18.08510638
ABB87292_ALZ021IZL_Avian_2004.377778,A,ALZ021IZL,0.145648313,0.23268206,0.191829485,0.158081705,0.172291297,0.138543517,0.245115453,0.289520426,11.70995674,18.08510638
ABB87711_KWS399VRN_Avian_2004.377778,A,KWS399VRN,0.145648313,0.234458259,0.193605684,0.159857904,0.174067496,0.143872114,0.246891652,0.289520426,11.69375457,18.08510638
AGL58112_HYZ313JZQ_Avian_2004.377778,A,HYZ313JZQ,0.14920071,0.230905861,0.190053286,0.159857904,0.174067496,0.142095915,0.243339254,0.289520426,11.68600263,18.08510638
ACZ36910_HSU040DWG_Avian_2003,A,HSU040DWG,0.147424512,0.23268206,0.193605684,0.158081705,0.170515098,0.13321492,0.25044405,0.285968028,11.71174054,18.08510638
ACZ48420_JFL316TCH_Avian_2003,A,JFL316TCH,0.152753108,0.236234458,0.191829485,0.158081705,0.174067496,0.13321492,0.25044405,0.284191829,11.69759994,18.08510638
AGL58004_YET380FCV_Avian_2003.397222,A,YET380FCV,0.145648313,0.238010657,0.191829485,0.158081705,0.170515098,0.131438721,0.25044405,0.285968028,11.71195727,18.08510638
AGK41315_ZWC972SZI_Avian_2000,A,ZWC972SZI,0.147424512,0.23268206,0.190053286,0.156305506,0.170515098,0.140319716,0.25044405,0.285968028,11.7065494,18.08510638
AGK41561_XOO024RLL_Avian_2000,A,XOO024RLL,0.147424512,0.234458259,0.190053286,0.156305506,0.168738899,0.145648313,0.255772647,0.282415631,11.69716422,18.79432624
AGK41339_ZQY652ZYM_Avian_2000,A,ZQY652ZYM,0.145648313,0.23268206,0.191829485,0.156305506,0.170515098,0.142095915,0.25044405,0.285968028,11.70802934,18.08510638
AGI02478_CEC877SFP_Avian_2011.283333,A,CEC877SFP,0.143872114,0.241563055,0.197158082,0.158081705,0.174067496,0.13321492,0.239786856,0.287744227,11.73152587,18.79432624
ACV90513_DJU156AXC_Avian_2006,A,DJU156AXC,0.142095915,0.23268206,0.190053286,0.159857904,0.172291297,0.138543517,0.252220249,0.289520426,11.76317005,17.37588652
AEM01007_VBZ522PDC_Avian_2010.083333,A,VBZ522PDC,0.145648313,0.23268206,0.188277087,0.150976909,0.170515098,0.138543517,0.25044405,0.289520426,10.90394707,17.37588652
AEM01018_QCP812RSQ_Avian_2010.083333,A,QCP812RSQ,0.14920071,0.234458259,0.188277087,0.154529307,0.174067496,0.140319716,0.25044405,0.289520426,11.67773053,18.08510638
AEM01073_RCH828UWZ_Avian_2010.083333,A,RCH828UWZ,0.145648313,0.234458259,0.188277087,0.154529307,0.174067496,0.138543517,0.25044405,0.289520426,11.68666669,18.08510638
AEM01051_QYB023QAB_Avian_2010.083333,A,QYB023QAB,0.145648313,0.234458259,0.190053286,0.154529307,0.172291297,0.143872114,0.252220249,0.291296625,11.69167623,18.08510638
AHM97891_TBM130IXT_Avian_2013.558333,A,TBM130IXT,0.145648313,0.236234458,0.188277087,0.159857904,0.174067496,0.136767318,0.243339254,0.294849023,11.69283507,17.37588652
ANM72343_SCE551NOJ_Avian_2014.969444,A,SCE551NOJ,0.145648313,0.23268206,0.188277087,0.159857904,0.172291297,0.136767318,0.245115453,0.293072824,11.70218588,18.08510638
AFK75287_LMA100SAQ_Avian_2010.905556,A,LMA100SAQ,0.14920071,0.230905861,0.184724689,0.156305506,0.172291297,0.140319716,0.248667851,0.289520426,11.69816612,18.08510638
AGE08668_BUA412EBJ_Avian_2011.827778,A,BUA412EBJ,0.14920071,0.230905861,0.186500888,0.156305506,0.172291297,0.134991119,0.248667851,0.287744227,11.71004454,18.08510638
