AOT87930.1	AOT87930.1
AQY63159.1	AQY63170.1
APW30874.1	APW30874.1
APW30874.1	APW31004.1
APW30903.1	APW30903.1
APW30918.1	APW30918.1
APW30925.1	APW30925.1
APW30953.1	APW30953.1
APW30961.1	APW30961.1
APW30961.1	AOO54882.1
APW30961.1	ALP31221.1
APW30961.1	AKQ09780.1
APW30961.1	AKH03227.1
APW30961.1	AIP92963.1
APW30961.1	AGN51155.1
APW30961.1	AFN66931.1
APW30979.1	APW30979.1
APW31013.1	APW31013.1
APW31022.1	APW31022.1
APW31022.1	ANM91534.1
APW31022.1	ANM92579.1
APW31022.1	ANM93756.1
APW31022.1	ANM88102.1
APW31022.1	ANM90181.1
APW31030.1	APW31030.1
APW31064.1	APW31064.1
APW31064.1	AOO54778.1
APW31064.1	AOO54802.1
APW31081.1	APW31081.1
APW31155.1	APW31155.1
APW31163.1	APW31163.1
AQA28042.1	AQA28042.1
AQN74106.1	AQN74106.1
AQN74106.1	AQN74117.1
AQN74106.1	AQN74128.1
AQN74106.1	AQN74139.1
AQN74106.1	AHA98578.1
AQN74106.1	ADI49277.1
AQN74321.1	AQN74321.1
AQN74321.1	ARD26668.1
AQN74370.1	AQN74370.1
AQN74370.1	AOT87028.1
AQN74370.1	AEA29292.1
AQN74370.1	ALZ45036.1
AQN74370.1	AHB24783.1
AQN74616.1	AQN74616.1
AQN74616.1	AQN75154.1
AQN74616.1	ANC28508.1
AQN74652.1	AQN74652.1
AQN74813.1	AQN74813.1
ALP01942.1	ALP01942.1
ALP31190.1	ALP31190.1
ALP31190.1	AKH14285.1
ALP31190.1	AKH14292.1
ALP31190.1	AKH14299.1
ALP31190.1	AKH14313.1
ALP31197.1	ALP31197.1
ALP31229.1	ALP31229.1
ALQ12537.1	ALQ12537.1
ALR83435.1	ALR83435.1
ALR83435.1	ALR83443.1
ALR83435.1	ALR83451.1
ALR83471.1	ALR83471.1
ALT19030.1	ALT19030.1
ALT19030.1	AEA29286.1
ALT19030.1	ADM31935.1
ALT19799.1	ALT19799.1
ALT20075.1	ALT20075.1
ALT31770.1	ALT31770.1
ALX27733.1	ALX27733.1
ALX27744.1	ALX27744.1
ALX27755.1	ALX27755.1
ALX27773.1	ALX27773.1
ALX27810.1	ALX27810.1
ALX27810.1	ALH26867.1
ALX27810.1	ATP80180.1
ALX28423.1	ALX28423.1
ALX28425.1	ALX28425.1
ALX28427.1	ALX28427.1
ALX28433.1	ALX28433.1
ALX28447.1	ALX28447.1
AII30983.1	AII30983.1
AII30983.1	AHX38308.1
AII30983.1	AHX38667.1
AII30983.1	AHX38679.1
AII30983.1	AHX38926.1
AII31028.1	AII31028.1
AII31028.1	AHX38621.1
AII31028.1	AHX38691.1
AII31028.1	AHX38902.1
AII31028.1	AHX39159.1
AII31028.1	AHZ96046.1
AII31028.1	AGS48856.1
AII31028.1	AHB59472.1
AIJ10928.1	AIJ10928.1
AIK26248.1	AIK26248.1
AIK26248.1	AHJ58110.1
AIK26248.1	AHB59495.1
AIK26571.1	AIK26571.1
AIK26571.1	AIK26582.1
AIL90198.1	AIL90198.1
AIL90209.1	AIL90209.1
AIL90215.1	AIL90215.1
AIL90215.1	AHN13786.1
AIL90224.1	AIL90224.1
AIP92600.1	AIP92600.1
AIP92996.1	AIP92996.1
AIP93007.1	AIP93007.1
ARO43537.1	ARO43537.1
ARO44024.1	ARO44024.1
ARO44024.1	AQW36780.1
ARO44024.1	AQW36791.1
ARO44024.1	AQY14871.1
ARO44024.1	AQY15080.1
ARO44024.1	APT39100.1
ARO44024.1	APW81651.1
ARO44024.1	APY25989.1
ARO44035.1	ARO44035.1
ARQ33332.1	ARQ33332.1
AQS19524.1	AQS19524.1
AQS21059.1	AQS21059.1
AQS82378.1	AQS82378.1
AQS98057.1	AQS98057.1
AQS98171.1	AQS98171.1
AQS98365.1	AQS98365.1
AQW36088.1	AQW36088.1
AQW37378.1	AQW37378.1
AQY14981.1	AQY14981.1
AQZ37602.1	AQZ37602.1
APT37391.1	APT37391.1
APT37402.1	APT37402.1
APT37575.1	APT37575.1
APT37872.1	APT37872.1
APT37872.1	AHM99026.1
APW80254.1	APW80254.1
APW80451.1	APW80451.1
APW81058.1	APW81058.1
APW81058.1	APW81069.1
APW81080.1	APW81080.1
ALZ43011.1	ALZ43011.1
ALZ43179.1	ALZ43179.1
ALZ43179.1	ALZ43191.1
ALZ43375.1	ALZ43375.1
ALZ43488.1	ALZ43488.1
ALZ43488.1	ALZ43656.1
ALZ43488.1	ALZ44499.1
ALZ43521.1	ALZ43521.1
ALZ43544.1	ALZ43544.1
ALZ43555.1	ALZ43555.1
ALZ43634.1	ALZ43634.1
ALZ43722.1	ALZ43722.1
ALZ43780.1	ALZ43780.1
ALZ44015.1	ALZ44015.1
ALZ44026.1	ALZ44026.1
ALZ44488.1	ALZ44488.1
ALZ44511.1	ALZ44511.1
ALZ44522.1	ALZ44522.1
ALZ44522.1	ALZ44650.1
ALZ44533.1	ALZ44533.1
ALZ44672.1	ALZ44672.1
ALZ44683.1	ALZ44683.1
ALZ44743.1	ALZ44743.1
ALZ44754.1	ALZ44754.1
ALZ45003.1	ALZ45003.1
ALZ45456.1	ALZ45456.1
ALZ45501.1	ALZ45501.1
ALZ45512.1	ALZ45512.1
ALZ45512.1	ALZ46600.1
ALZ45512.1	ALZ46645.1
ALZ45534.1	ALZ45534.1
ALZ45545.1	ALZ45545.1
ALZ45545.1	ALZ46518.1
ALZ46472.1	ALZ46472.1
ALZ46507.1	ALZ46507.1
ALZ46552.1	ALZ46552.1
ALZ46668.1	ALZ46668.1
ANJ77981.1	ANJ77981.1
ANJ77981.1	ANJ77992.1
ANJ77981.1	ANJ78003.1
ANJ77981.1	ANJ78025.1
ANJ77981.1	ANJ78036.1
ANJ77981.1	ANJ78047.1
ANJ77981.1	ANJ78059.1
ANJ77981.1	ANJ78070.1
ANJ77981.1	ANJ78081.1
ANJ78014.1	ANJ78014.1
AHZ35909.1	AHZ35909.1
AHZ35931.1	AHZ35931.1
AHZ36346.1	AHZ36346.1
AHZ36346.1	AHZ36369.1
AHZ39837.1	AHZ39837.1
AHZ41535.1	AHZ41535.1
AHZ41557.1	AHZ41557.1
AHZ42744.1	AHZ42744.1
AHZ42827.1	AHZ42827.1
AHZ60115.1	AHZ60115.1
AIL93619.1	AIL93619.1
AIL93619.1	AIL93688.1
AIL93619.1	AIL93843.1
AIL93619.1	AIL93994.1
AIL93619.1	AIL94065.1
AIL93619.1	AIL94076.1
AIL93619.1	AIL94511.1
AIL93619.1	AIL94557.1
AIL93854.1	AIL93854.1
AIL93936.1	AIL93936.1
AIL94396.1	AIL94396.1
AIL94442.1	AIL94442.1
AIL94591.1	AIL94591.1
AIM55922.1	AIM55922.1
AIM56035.1	AIM56035.1
AIM56277.1	AIM56277.1
AIM56487.1	AIM56487.1
AIM56575.1	AIM56575.1
AIM56586.1	AIM56586.1
AIM56652.1	AIM56652.1
AHL98445.1	AHL98445.1
AHL98445.1	AHL98456.1
AHM98357.1	AHM98357.1
AHM98390.1	AHM98390.1
AHM98522.1	AHM98522.1
AHM98555.1	AHM98555.1
AHM98588.1	AHM98588.1
AHM98774.1	AHM98774.1
AHM98774.1	AEI86911.1
AHM98843.1	AHM98843.1
AHM98927.1	AHM98927.1
AHM98927.1	AHM98947.1
AHM98927.1	AHM99004.1
AHM98927.1	AHM99015.1
AHM98927.1	AHM99061.1
AHM98994.1	AHM98994.1
AHM98994.1	AHN00724.1
AHM99038.1	AHM99038.1
AHM99050.1	AHM99050.1
AFR75955.1	AFR75955.1
AFR75955.1	AFR76204.1
AFR75988.1	AFR75988.1
AFR75999.1	AFR75999.1
AFR76154.1	AFR76154.1
AFR76448.1	AFR76448.1
AEM60154.1	AEM60154.1
AEM92367.1	AEM92367.1
AEM92547.1	AEM92547.1
AEM92547.1	ADX96377.2
AEN55520.1	AEN55520.1
AEN55520.1	AEL89728.1
AEN94819.1	AEN94819.1
AEN94830.1	AEN94830.1
AEO37537.1	AEO37537.1
AEO37537.1	AEI87061.1
AEO37537.1	AEL89518.1
AEO37537.1	AEL89578.1
AEO37537.1	AEL89588.1
AEO91764.1	AEO91764.1
AEO91840.1	AEO91840.1
AEO91862.1	AEO91862.1
AEO91906.1	AEO91906.1
AEX09174.1	AEX09174.1
ACV42050.1	ACV42050.1
ACV42105.1	ACV42105.1
ACV42116.1	ACV42116.1
ACV52108.1	ACV52108.1
ACV52108.1	ACV52119.1
ADA70668.1	ADA70668.1
ADA72002.1	ADA72002.1
ADG01957.1	ADG01957.1
ADG01977.1	ADG01977.1
ADG08349.1	ADG08349.1
ADG08429.1	ADG08429.1
ADH01955.1	ADH01955.1
ADH01995.1	ADH01995.1
ADI24545.1	ADI24545.1
ADI48749.1	ADI48749.1
ADI49247.1	ADI49247.1
ADJ40429.1	ADJ40429.1
AFB70236.1	AFB70236.1
AFB70326.1	AFB70326.1
AFB70356.1	AFB70356.1
AFB70376.1	AFB70376.1
BAK23272.1	BAK23272.1
BAL70463.1	BAL70463.1
BAM34308.1	BAM34308.1
BAM34338.1	BAM34338.1
BAN37211.1	BAN37211.1
BAQ19415.1	BAQ19415.1
BAQ19425.1	BAQ19425.1
AQZ41979.1	AQZ41979.1
AQZ41979.1	AOG30523.1
AQZ41999.1	AQZ41999.1
AQZ42009.1	AQZ42009.1
AQZ42019.1	AQZ42019.1
AQZ42038.1	AQZ42038.1
ARG42339.1	ARG42339.1
ARG42350.1	ARG42350.1
ARI68327.1	ARI68327.1
ARI68327.1	ANZ03514.1
ARI68327.1	AKD00566.1
ARI68327.1	AEN68523.1
ARI68327.1	ADO12190.1
ARI68327.1	ADO12200.1
ARI68327.1	ADO12280.1
ARI68327.1	ADO12350.1
ARI68385.1	ARI68385.1
ARI68385.1	ARI68557.1
ARI68385.1	ARI69844.1
ARI68385.1	APD69889.1
ARI68385.1	AIP92952.1
ARI68385.1	AGO59806.1
ARI68385.1	AGQ88542.1
ARI68385.1	AGV74963.1
ARI68385.1	AGV75722.1
ARI68385.1	AHZ40496.1
ARI68385.1	AHZ40602.1
ARI68385.1	AHZ42615.1
ARI68385.1	AHZ42650.1
ARI68385.1	AHL99386.1
ARI68385.1	AHL99601.1
ARI68385.1	AHL99744.1
ARI68385.1	AHL95885.1
ARI68385.1	AHL96481.1
ARI68385.1	AHL96588.1
ARI68385.1	AHL98112.1
ARI68385.1	AHL98291.1
ARI68385.1	AGV99033.1
ARI68444.1	ARI68444.1
ARI68444.1	ARI68538.1
ARI68444.1	ARI68676.1
ARI68444.1	ARI68760.1
ARI68444.1	ARI68969.1
ARI68444.1	ARI69481.1
ARI68444.1	ARI69513.1
ARI68444.1	ARI69681.1
ARI68444.1	ARI69754.1
ARI68444.1	ARI70037.1
ARI68444.1	ARI70051.1
ARI68444.1	ARI70295.1
ARI68444.1	ARI70329.1
ARI68444.1	ARI70360.1
ARI68448.1	ARI68448.1
ARI68448.1	ARI70067.1
ARI68448.1	ANM94900.1
ARI68448.1	AQS98290.1
ARI68489.1	ARI68489.1
ARI68489.1	ARI68689.1
ARI68489.1	ARI68908.1
ARI68489.1	ARI69656.1
ARI68489.1	AOT88513.1
ARI68489.1	AHM98544.1
ARI68523.1	ARI68523.1
ARI68523.1	AKQ10664.1
ARI68523.1	AFK75022.1
ARI68523.1	AFN17852.1
ARI68523.1	ADL32451.1
ARI68523.1	ADH01985.1
ARI68655.1	ARI68655.1
ARI68702.1	ARI68702.1
ARI68773.1	ARI68773.1
ARI68849.1	ARI68849.1
ARI68849.1	ARI69092.1
ARI68849.1	ARI69155.1
ARI68849.1	ARI69166.1
ARI68849.1	ARI69247.1
ARI69075.1	ARI69075.1
ARI69075.1	ANM91644.1
ARI69075.1	AUC65590.1
ARI69075.1	ARH17600.1
ARI69075.1	AHM98752.1
ARI69259.1	ARI69259.1
ARI69259.1	ANM88014.1
AIE49448.1	AIE49448.1
AIE49448.1	AIE49460.1
AIE49448.1	AIE49472.1
AIE49448.1	AIE49484.1
AIE49448.1	AIE49496.1
AIE49448.1	AIE49520.1
AIE49448.1	AIE49424.1
AIE49448.1	AIE49436.1
AIE49448.1	AFN18926.1
AIE49555.1	AIE49555.1
AIE49555.1	AIE49602.1
AIE49679.1	AIE49679.1
AIE49968.1	AIE49968.1
AIE49968.1	AIE51144.1
AIE50023.1	AIE50023.1
AIE50023.1	AIE50034.1
AIE50023.1	ADG01905.1
AIE50023.1	ADG01915.1
AIE50023.1	ADG01947.1
AIE50023.1	ADG01967.1
AIE50333.1	AIE50333.1
AIE50411.1	AIE50411.1
AIE50456.1	AIE50456.1
AIE50456.1	AIE50468.1
AJJ99941.1	AJJ99941.1
AJJ99952.1	AJJ99952.1
AJJ99952.1	AGI53859.1
AJJ99952.1	AFK74541.1
AJJ99998.1	AJJ99998.1
AJK00010.1	AJK00010.1
AJK00112.1	AJK00112.1
AJM70755.1	AJM70755.1
AJP13644.1	AJP13644.1
AJP13644.1	AJP13674.1
AJP13644.1	AJP15565.1
AJP13644.1	AJY79471.1
AJP13644.1	AJY79507.1
AJW32051.1	AJW32051.1
AJW32051.1	AFP99328.1
AJW32051.1	AFP99335.1
AJW32073.1	AJW32073.1
AJY79536.1	AJY79536.1
AJY79596.1	AJY79596.1
AJY79603.1	AJY79603.1
AJY79603.1	AJY79639.1
AJY79603.1	AJY79646.1
AJY79610.1	AJY79610.1
AJY79678.1	AJY79678.1
AJY79678.1	AJY79685.1
AJY79678.1	AKA60560.1
AJY79678.1	AFP99307.1
AJY79678.1	AFP99341.1
AJJ99242.1	AJJ99242.1
AJJ99276.1	AJJ99276.1
AJJ99287.1	AJJ99287.1
AJJ99366.1	AJJ99366.1
AJJ99547.1	AJJ99547.1
AJJ99673.1	AJJ99673.1
AJJ99717.1	AJJ99717.1
AJJ99750.1	AJJ99750.1
AHL80725.1	AHL80725.1
AHL80725.1	ADI49774.1
AHL80857.1	AHL80857.1
AHL80857.1	AHL80868.1
AHL80912.1	AHL80912.1
AHL80942.1	AHL80942.1
AHL80942.1	AHL80965.1
AHL80942.1	AHL81068.1
AHL80942.1	AHL81079.1
AHL80942.1	AHL81314.1
AHB20851.1	AHB20851.1
AHB20938.1	AHB20938.1
AHB20950.1	AHB20950.1
AHB20950.1	AHB22826.1
AHB20950.1	AHB23683.1
AHB20950.1	AHB51311.1
AHB21034.1	AHB21034.1
AHB21070.1	AHB21070.1
AHB21587.1	AHB21587.1
AHB21659.1	AHB21659.1
AHB21766.1	AHB21766.1
AHB21766.1	ADY80118.1
AHB22232.1	AHB22232.1
AHB22313.1	AHB22313.1
AHB22349.1	AHB22349.1
AHB22539.1	AHB22539.1
AHB22562.1	AHB22562.1
AHB22586.1	AHB22586.1
AHB22646.1	AHB22646.1
AHB22646.1	AHB22742.1
AHB22658.1	AHB22658.1
AHB22658.1	AHB51275.1
AHB22682.1	AHB22682.1
AHB22922.1	AHB22922.1
AHB22922.1	AHB23102.1
AHB22982.1	AHB22982.1
AHB23066.1	AHB23066.1
AHB23066.1	AHB23090.1
AHB23201.1	AHB23201.1
AHB23806.1	AHB23806.1
AHB23841.1	AHB23841.1
AHB24519.1	AHB24519.1
AHB24632.1	AHB24632.1
AHB24642.1	AHB24642.1
AHB51263.1	AHB51263.1
AHB51287.1	AHB51287.1
AHB51299.1	AHB51299.1
AHB51299.1	AHB52045.1
AHB51420.1	AHB51420.1
AHB51882.1	AHB51882.1
AHB51894.1	AHB51894.1
AHB51894.1	AHB52096.1
AHB51997.1	AHB51997.1
AHB52070.1	AHB52070.1
AHB52121.1	AHB52121.1
AHB52274.1	AHB52274.1
AGB13417.1	AGB13417.1
AGB13607.1	AGB13607.1
AGB51385.1	AGB51385.1
AGB51385.1	AEM60144.1
AGB51385.1	AEA04405.1
AGB99488.1	AGB99488.1
AGE89274.1	AGE89274.1
AGG13958.1	AGG13958.1
AGG13958.1	AGG13969.1
AGO00332.1	AGO00332.1
AGO00380.1	AGO00380.1
AGO00380.1	AGO00392.1
AGO00380.1	AGO00404.1
AGO00380.1	AGO00416.1
AGO00380.1	AGQ47973.1
AGO00380.1	AEX92889.1
AGO00428.1	AGO00428.1
AGO00428.1	AGQ48009.1
AGO00428.1	AGQ48021.1
AGQ47806.1	AGQ47806.1
AGQ47854.1	AGQ47854.1
AGQ47866.1	AGQ47866.1
AGQ47866.1	ABD79262.1
AGR50025.1	AGR50025.1
AGR50125.1	AGR50125.1
AGR50125.1	AEK07931.1
AGR50147.1	AGR50147.1
AGU92795.1	AGU92795.1
AHB51155.1	AHB51155.1
AHB51167.1	AHB51167.1
AHB51203.1	AHB51203.1
AFK74551.1	AFK74551.1
AFK74551.1	AFK74692.1
AFK74551.1	AFG31307.1
AFK77864.1	AFK77864.1
AFM71762.1	AFM71762.1
AFM71786.1	AFM71786.1
AFM71798.1	AFM71798.1
AFM71809.1	AFM71809.1
AFM71842.1	AFM71842.1
AFM72007.1	AFM72007.1
AFM72007.1	AFM73022.1
AFM72007.1	AFM73032.1
AFM72007.1	AFM73042.1
AFM72275.1	AFM72275.1
AFM72396.1	AFM72396.1
AFM72539.1	AFM72539.1
AFM73011.1	AFM73011.1
AFN17380.1	AFN17380.1
AFN17380.1	AFN18501.1
AFN17380.1	AFN18936.1
AFN17380.1	ADP06444.1
AFN17466.1	AFN17466.1
AFN17526.1	AFN17526.1
AFN17526.1	AFN18038.1
AFN17714.1	AFN17714.1
AFN17734.1	AFN17734.1
AFN17756.1	AFN17756.1
AFN17756.1	AFN19232.1
AFN17812.1	AFN17812.1
AFN17958.1	AFN17958.1
AFN18087.1	AFN18087.1
AFN18333.1	AFN18333.1
AFN18439.1	AFN18439.1
AFN18511.1	AFN18511.1
AFN18511.1	AFN19212.1
AFN18511.1	AFN19258.1
AFN18511.1	AFN19268.1
AFN18511.1	AFN19278.1
AFN18673.1	AFN18673.1
AFN18798.1	AFN18798.1
AFN18798.1	AFN18808.1
AFN18798.1	AFN19096.1
AFN18798.1	AFN19163.1
AFN18798.1	AFN19173.1
AFN18874.1	AFN18874.1
AFN18874.1	ADZ04705.1
AFN19242.1	AFN19242.1
AFN19780.1	AFN19780.1
AFQ34695.2	AFQ34695.2
AFQ34728.1	AFQ34728.1
AFQ34728.1	AFQ34750.1
AFQ34728.1	AFQ34772.1
AFQ34728.1	AFQ34793.1
AFQ34739.2	AFQ34739.2
AFR68170.1	AFR68170.1
AFX96475.1	AFX96475.1
AFX96485.1	AFX96485.1
AFX96665.1	AFX96665.1
AFX96715.1	AFX96715.1
AFX96745.1	AFX96745.1
AFX96795.1	AFX96795.1
AFX96825.1	AFX96825.1
AFX96825.1	ADX96786.1
AFX96863.1	AFX96863.1
AFX96921.1	AFX96921.1
AFX96941.1	AFX96941.1
AGB12982.1	AGB12982.1
AGB12993.1	AGB12993.1
AGB13003.1	AGB13003.1
AGB13023.1	AGB13023.1
AGB13156.1	AGB13156.1
AFG72654.1	AFG72654.1
AFJ05633.1	AFJ05633.1
AFJ20189.1	AFJ20189.1
AFJ23054.1	AFJ23054.1
AFJ74532.1	AFJ74532.1
AFJ75098.1	AFJ75098.1
ADL32521.1	ADL32521.1
ADL32541.1	ADL32541.1
ADL32551.1	ADL32551.1
ADM29517.1	ADM29517.1
AEW10623.1	AEW10623.1
ABR28665.1	ABR28665.1
ABR28676.1	ABR28676.1
ABR28676.1	ABS49939.1
ABR28676.1	ABW36340.1
ABR28676.1	ABW36351.1
ABR28731.1	ABR28731.1
ABR29572.1	ABR29572.1
ABV82580.1	ABV82580.1
ABV82591.1	ABV82591.1
ABV82602.1	ABV82602.1
ABW36362.1	ABW36362.1
ABW38017.1	ABW38017.1
ABW71488.1	ABW71488.1
ACD85161.1	ACD85161.1
ADK32497.1	ADK32497.1
ADK32674.1	ADK32674.1
ADK32694.1	ADK32694.1
ADK33658.1	ADK33658.1
ADK33658.1	ADK33668.1
ADK33718.1	ADK33718.1
ADK33878.1	ADK33878.1
ADK33898.1	ADK33898.1
ADK33958.1	ADK33958.1
ADJ40471.1	ADJ40471.1
ADJ40481.1	ADJ40481.1
ADJ40541.1	ADJ40541.1
ADJ40561.1	ADJ40561.1
ADJ40581.1	ADJ40581.1
ADJ80711.1	ADJ80711.1
ADJ80711.1	ADJ80801.1
ADJ80761.1	ADJ80761.1
ADJ80771.1	ADJ80771.1
ADJ80791.1	ADJ80791.1
ADJ80791.1	ADJ81010.1
ADJ80821.1	ADJ80821.1
ADJ80831.1	ADJ80831.1
ADJ80841.1	ADJ80841.1
ADJ80865.1	ADJ80865.1
ADJ80954.1	ADJ80954.1
ADJ80974.1	ADJ80974.1
ADJ81040.1	ADJ81040.1
ADK21730.1	ADK21730.1
ADK21750.1	ADK21750.1
ADK21770.1	ADK21770.1
ADK21770.1	ADI49329.1
ADK21780.1	ADK21780.1
ADK21820.1	ADK21820.1
ADK21870.1	ADK21870.1
ADK21890.1	ADK21890.1
ADK21940.1	ADK21940.1
ADK21940.1	ADL32421.1
ADK32417.1	ADK32417.1
ADK32447.1	ADK32447.1
ADO25269.1	ADO25269.1
ADO25279.1	ADO25279.1
ADO65970.1	ADO65970.1
ADP06434.1	ADP06434.1
ADP94006.1	ADP94006.1
ADP94026.1	ADP94026.1
ADP95380.1	ADP95380.1
ADT79096.1	ADT79096.1
ADU59872.1	ADU59872.1
ADU59872.1	ADU59948.1
ADU59931.1	ADU59931.1
ADV17282.1	ADV17282.1
ADV17302.1	ADV17302.1
ADV17312.1	ADV17312.1
ADV17322.1	ADV17322.1
ADJ40451.1	ADJ40451.1
ADJ40461.1	ADJ40461.1
ADN92529.1	ADN92529.1
ADN92529.1	ADN92539.1
ADN92549.1	ADN92549.1
ADO00757.1	ADO00757.1
ADO12510.1	ADO12510.1
ADO21014.1	ADO21014.1
ADO21025.1	ADO21025.1
ADO21036.1	ADO21036.1
ADO21047.1	ADO21047.1
AOT92115.1	AOT92115.1
AOT92159.1	AOT92159.1
AOX49527.1	AOX49527.1
AOX49527.1	AOX49615.1
AOX49527.1	AOX49670.1
AOX49527.1	AHX38609.1
AOX49527.1	AID70639.1
AOX49527.1	AHB73713.1
AOX49527.1	AFX96675.1
AOX49567.1	AOX49567.1
AOX49567.1	AIW63346.1
AOX49575.1	AOX49575.1
AOX49607.1	AOX49607.1
AOX49654.1	AOX49654.1
AOX49654.1	AIX94844.1
AOX49654.1	AHC69356.1
AOX49654.1	AHC69368.1
APC57908.1	APC57908.1
AOT92192.1	AOT92192.1
AOT92192.1	ANM89906.1
AOT92247.1	AOT92247.1
AOT92313.1	AOT92313.1
AOT92368.1	AOT92368.1
AOT92368.1	AOT92643.1
AOT92368.1	AOT87908.1
AOT92368.1	ANE27908.1
AOT92379.1	AOT92379.1
AOT92379.1	AOT87270.1
AOT92379.1	AOT88249.1
AOT92379.1	ANM93195.1
AOT92379.1	ANM88905.1
AOT92379.1	AEC33229.1
AOT92467.1	AOT92467.1
AOT92489.1	AOT92489.1
AOT92489.1	AOT93182.1
AOT92489.1	AOT87820.1
AOT92489.1	ANE29205.1
AOT92489.1	AFD98446.1
AOT92588.1	AOT92588.1
AOT92588.1	AOT87853.1
AOT92588.1	ANM94383.1
AOT92588.1	ANM94845.1
AOT92610.1	AOT92610.1
AOT92632.1	AOT92632.1
AOT92632.1	AOT93006.1
AOT92632.1	AOT93039.1
AOT92632.1	AOW44763.1
AOT92632.1	AOZ85938.1
AOT92632.1	AOT87699.1
AOT92632.1	ANM91072.1
AOT92632.1	ANM91842.1
AOT92632.1	ANM92304.1
AOT92632.1	ANM92447.1
AOT92632.1	ANM93635.1
AOT92632.1	ANM94988.1
AOT92632.1	ANM88003.1
AOT92632.1	ANM89059.1
AOT92632.1	ANM89433.1
AOT92632.1	ANM89840.1
AOT92632.1	ANM90379.1
AOT92632.1	ANM90478.1
AOT92632.1	ANE28585.1
AOT92632.1	AUC65912.1
AOT92665.1	AOT92665.1
AOT92698.1	AOT92698.1
AOT92698.1	AOW44522.1
AOT92698.1	ANM93305.1
AOT92698.1	ANE28826.1
AOT92698.1	AKQ12083.1
AOT92742.1	AOT92742.1
AOT92753.1	AOT92753.1
AOT92775.1	AOT92775.1
AOT92940.1	AOT92940.1
