AUI42241.1:1-757	AUI42241.1:1-757
ADI79236.1:1-767	ABY81669.1:1-393
ADI79236.1:1-767	ABY81670.1:1-266
ADI79236.1:1-767	ABY81671.1:1-275
ADI79236.1:1-767	ABY81673.1:1-394
ADI79236.1:1-767	ABY81674.1:1-394
ADI79236.1:1-767	ABY81675.1:1-394
ADI79236.1:1-767	ABY81676.1:1-262
ADI79236.1:1-767	ABY81678.1:1-394
ADI79236.1:1-767	ABY81679.1:1-394
ADI79236.1:1-767	ABY81682.1:1-394
ADI79236.1:1-767	ABY81683.1:1-394
ADI79236.1:1-767	ABY81684.1:1-394
ADI79236.1:1-767	ABY81685.1:1-394
ADI79236.1:1-767	ABY81686.1:1-394
ADI79236.1:1-767	ABY81689.1:1-394
ADI79236.1:1-767	ABY81690.1:1-394
ADI79236.1:1-767	ABY81691.1:1-394
ADI79236.1:1-767	ABY81692.1:1-394
ADI79236.1:1-767	ACD40333.1:1-213
ADI79236.1:1-767	ASU48410.1:1-302
ADI79236.1:1-767	AHN03758.1:1-102
ADI79236.1:1-767	AHN03782.1:1-99
ADI79236.1:1-767	AGL52490.1:1-119
ADI79236.1:1-767	AFY05760.1:1-123
ADI79236.1:1-767	AFF27589.1:1-136
ADI79236.1:1-767	AFJ12507.1:1-84
ADI79236.1:1-767	AFX88561.1:1-144
ADI79236.1:1-767	AFX88613.1:1-149
ADI79236.1:1-767	AEM00346.1:1-241
ADI79236.1:1-767	ACT84538.1:1-394
ADI79236.1:1-767	ACT84565.1:1-391
ADI79236.1:1-767	AAN84394.1:1-196
ADI79236.1:1-767	AAN84405.1:1-196
ADI79236.1:1-767	AAT65247.1:1-412
ADI79236.1:1-767	AAT65248.1:1-262
ADI79236.1:1-767	AAT65249.1:1-393
ADI79236.1:1-767	AAT65250.1:1-364
ADI79236.1:1-767	AAT65251.1:1-207
ADI79236.1:1-767	AAT65252.1:1-394
ADI79236.1:1-767	AAT65253.1:1-392
ADI79236.1:1-767	AAT65254.1:1-373
ADI79236.1:1-767	AAT65255.1:1-268
ADI79236.1:1-767	AAT65256.1:1-272
ADI79236.1:1-767	AAT65257.1:1-264
ADI79236.1:1-767	AAT65258.1:1-375
ADI79236.1:1-767	AAT65259.1:1-398
ADI79236.1:1-767	AAT65260.1:1-211
ADI79236.1:1-767	AAT65261.1:1-403
ADI79236.1:1-767	AAT65262.1:1-327
ADI79236.1:1-767	AAT65263.1:1-414
ADI79236.1:1-767	AAT65264.1:1-263
ADI79236.1:1-767	AAT65265.1:1-259
ADI79236.1:1-767	AAT65266.1:1-259
ADI79236.1:1-767	AAT65267.1:1-414
ADI79236.1:1-767	AAT65268.1:1-224
ADI79236.1:1-767	AAT65269.1:1-264
ADI79236.1:1-767	AAT65270.1:1-231
ADI79236.1:1-767	AAT65271.1:1-414
ADI79236.1:1-767	AAT65272.1:1-412
ADI79236.1:1-767	AAT65273.1:1-180
ADI79236.1:1-767	AAT65274.1:1-269
ADI79236.1:1-767	AAT65275.1:1-400
ADI79236.1:1-767	AAT65276.1:1-257
ADI79236.1:1-767	AAT65277.1:1-369
ADI79236.1:1-767	AAT65278.1:1-374
ADI79236.1:1-767	AAT65279.1:1-267
ADI79236.1:1-767	AAT65280.1:1-340
ADI79236.1:1-767	AAT65281.1:1-259
ADI79236.1:1-767	BAF33396.1:1-188
ADI79236.1:1-767	BAF33406.1:1-188
ADI79236.1:1-767	BAF33426.1:1-188
ADI79236.1:1-767	BAF33436.1:1-188
ADI79236.1:1-767	BAF34320.1:1-188
ADI79236.1:1-767	BAG07128.1:1-184
ADI79236.1:1-767	BAG07138.1:1-179
ADI79236.1:1-767	BAJ83561.1:1-121
ADI79236.1:1-767	BAJ83569.1:1-121
ADI79236.1:1-767	BAJ83577.1:1-121
ADI79236.1:1-767	BAJ83735.1:1-121
ADI79236.1:1-767	BAJ83743.1:1-152
ADI79236.1:1-767	BAJ83751.1:1-121
ADI79236.1:1-767	BAJ83759.1:1-121
ADI79236.1:1-767	BAJ83767.1:1-119
ADI79236.1:1-767	BAJ83900.1:1-119
ADI79236.1:1-767	BAK39724.1:1-160
ADI79236.1:1-767	BAK39972.1:1-160
ADI79236.1:1-767	BAK39980.1:1-160
ADI79236.1:1-767	BAK39988.1:1-160
ADI79236.1:1-767	BAK39996.1:1-160
ADI79236.1:1-767	BAK40004.1:1-181
ADI79236.1:1-767	BAK40146.1:1-181
ADI79236.1:1-767	BAK40198.1:1-161
ADI79236.1:1-767	BAL14147.1:1-197
ADI79236.1:1-767	BAL14157.1:1-197
ADI79236.1:1-767	BAL14167.1:1-197
ADI79236.1:1-767	BAL14177.1:1-197
ADI79236.1:1-767	BAL14187.1:1-197
ADI79236.1:1-767	BAL14197.1:1-197
ADI79236.1:1-767	BAL14207.1:1-197
ADI79236.1:1-767	BAL14217.1:1-197
ADI79236.1:1-767	BAL14227.1:1-197
ADI79236.1:1-767	BAL14237.1:1-197
ADI79236.1:1-767	BAL14247.1:1-197
ADI79236.1:1-767	BAL14257.1:1-197
ADI79236.1:1-767	BAM14812.1:1-121
ADI79236.1:1-767	BAM14820.1:1-121
ADI79236.1:1-767	BAM14828.1:1-121
ADI79236.1:1-767	BAM14836.1:1-121
ADI79236.1:1-767	BAM15265.1:1-121
ADI79236.1:1-767	BAM15310.1:1-121
ADI79236.1:1-767	BAM15318.1:1-121
ADI79236.1:1-767	BAM15487.1:1-121
ADI79236.1:1-767	BAM15495.1:1-121
ADI79236.1:1-767	BAM15503.1:1-121
ADI79236.1:1-767	BAM15511.1:1-121
ADI79236.1:1-767	BAM15519.1:1-121
ADI79236.1:1-767	BAM15527.1:1-121
ADI79236.1:1-767	BAM15535.1:1-121
ADI79236.1:1-767	BAM15543.1:1-121
ADI79236.1:1-767	BAM15551.1:1-121
ADI79236.1:1-767	BAM15559.1:1-121
ADI79236.1:1-767	BAM20962.1:1-121
ADI79236.1:1-767	BAM20970.1:1-121
ADI79236.1:1-767	BAM21242.1:1-121
ADI79236.1:1-767	BAM21507.1:1-121
ADI79236.1:1-767	BAM21559.1:1-121
ADI79236.1:1-767	BAM22605.1:1-121
ADI79236.1:1-767	BAM22615.1:1-121
ADI79236.1:1-767	BAM22625.1:1-121
ADI79236.1:1-767	BAM68497.1:1-121
ADI79236.1:1-767	BAM76843.1:1-121
ADI79236.1:1-767	BAM76852.1:1-121
ADI79236.1:1-767	BAM76860.1:1-121
ADI79236.1:1-767	BAM76868.1:1-121
ADI79236.1:1-767	BAM77025.1:1-121
ADI79236.1:1-767	BAM78526.1:1-121
ADI79236.1:1-767	BAM78644.1:1-121
ADI79236.1:1-767	BAM78651.1:1-121
ADI79236.1:1-767	BAM78658.1:1-121
ADI79236.1:1-767	BAM78665.1:1-121
ADI79236.1:1-767	BAM78672.1:1-121
ADI79236.1:1-767	BAM78705.1:1-121
ADI79236.1:1-767	ASU54957.1:1-758
ADI79236.1:1-767	ASR92112.1:1-757
ADI79236.1:1-767	ASU06399.1:1-757
ADI79236.1:1-767	ASU06561.1:1-757
ADI79236.1:1-767	ASU54926.1:1-757
ADI79236.1:1-767	ASU54937.1:1-757
ADI79236.1:1-767	ASU54965.1:1-758
ADI79236.1:1-767	ASU54979.1:1-757
ADI79236.1:1-767	ASU54994.1:1-758
ADI79236.1:1-767	ASU54999.1:1-757
ADI79236.1:1-767	ASU55032.1:1-757
ADI79236.1:1-767	ASU55037.1:1-757
ADI79236.1:1-767	ASU55056.1:1-757
ADI79236.1:1-767	ASU55060.1:1-757
ADI79236.1:1-767	ASU55078.1:1-757
ADI79236.1:1-767	ASU55089.1:1-757
ADI79236.1:1-767	ASU55101.1:1-757
ADI79236.1:1-767	ASU55108.1:1-757
ADI79236.1:1-767	ASU55125.1:1-757
ADI79236.1:1-767	ASU55140.1:1-757
ADI79236.1:1-767	ASU55160.1:1-757
ADI79236.1:1-767	ASU55168.1:1-757
ADI79236.1:1-767	ASU55181.1:1-757
ADI79236.1:1-767	ASU55199.1:1-757
ADI79236.1:1-767	ASU55210.1:1-757
ADI79236.1:1-767	ASU55223.1:1-757
ADI79236.1:1-767	ASU55251.1:1-757
ADI79236.1:1-767	ASU55259.1:1-757
ADI79236.1:1-767	ASU55275.1:1-757
ADI79236.1:1-767	ASU55285.1:1-757
ADI79236.1:1-767	ASU55301.1:1-757
ADI79236.1:1-767	ASU55312.1:1-757
ADI79236.1:1-767	ASU55328.1:1-757
ADI79236.1:1-767	ASU55335.1:1-757
ADI79236.1:1-767	ASU55347.1:1-757
ADI79236.1:1-767	ASU55357.1:1-757
ADI79236.1:1-767	ASU55369.1:1-757
ADI79236.1:1-767	ASU55381.1:1-758
ADI79236.1:1-767	ASV60399.1:1-757
ADI79236.1:1-767	ASV60406.1:1-757
ADI79236.1:1-767	ASV60423.1:1-757
ADI79236.1:1-767	ASV60432.1:1-757
ADI79236.1:1-767	ASV60434.1:1-757
ADI79236.1:1-767	ASV60462.1:1-757
ADI79236.1:1-767	ASV60470.1:1-757
ADI79236.1:1-767	ASV60474.1:1-757
ADI79236.1:1-767	ASV60479.1:1-757
ADI79236.1:1-767	ASV60536.1:1-757
ADI79236.1:1-767	ASV60546.1:1-757
ADI79236.1:1-767	ASV60554.1:1-757
ADI79236.1:1-767	ASV60558.1:1-757
ADI79236.1:1-767	ASV60569.1:1-757
ADI79236.1:1-767	ASV60579.1:1-757
ADI79236.1:1-767	ASV60581.1:1-757
ADI79236.1:1-767	ASV60583.1:1-757
ADI79236.1:1-767	ASV60622.1:1-757
ADI79236.1:1-767	ASV60624.1:1-757
ADI79236.1:1-767	ASV60632.1:1-757
ADI79236.1:1-767	ASV60636.1:1-757
ADI79236.1:1-767	ASV60654.1:1-757
ADI79236.1:1-767	ASV60669.1:1-757
ADI79236.1:1-767	ASV60676.1:1-757
ADI79236.1:1-767	ASV60682.1:1-757
ADI79236.1:1-767	ASV60689.1:1-757
ADI79236.1:1-767	ASV60696.1:1-757
ADI79236.1:1-767	ASV60700.1:1-757
ADI79236.1:1-767	ASV60709.1:1-757
ADI79236.1:1-767	ASV60712.1:1-757
ADI79236.1:1-767	ASV60717.1:1-757
ADI79236.1:1-767	ASV60732.1:1-757
ADI79236.1:1-767	ASV60734.1:1-757
ADI79236.1:1-767	ASV60745.1:1-757
ADI79236.1:1-767	ASV60760.1:1-757
ADI79236.1:1-767	ASV60775.1:1-757
ADI79236.1:1-767	ASV60786.1:1-757
ADI79236.1:1-767	ASV60790.1:1-757
ADI79236.1:1-767	ASV60798.1:1-757
ADI79236.1:1-767	ASV60801.1:1-757
ADI79236.1:1-767	ASV60806.1:1-757
ADI79236.1:1-767	ASV60810.1:1-757
ADI79236.1:1-767	ASV60812.1:1-757
ADI79236.1:1-767	ASV61052.1:1-757
ADI79236.1:1-767	ASV61064.1:1-757
ADI79236.1:1-767	ASV61076.1:1-757
ADI79236.1:1-767	ASV61088.1:1-757
ADI79236.1:1-767	ASV61100.1:1-757
ADI79236.1:1-767	ASV61112.1:1-757
ADI79236.1:1-767	ASV61124.1:1-757
ADI79236.1:1-767	ASV61136.1:1-757
ADI79236.1:1-767	ASV61148.1:1-757
ADI79236.1:1-767	ASV61160.1:1-757
ADI79236.1:1-767	ASV61172.1:1-757
ADI79236.1:1-767	ASV61184.1:1-757
ADI79236.1:1-767	ASV61196.1:1-757
ADI79236.1:1-767	ASV61208.1:1-757
ADI79236.1:1-767	ASV61220.1:1-757
ADI79236.1:1-767	ASV61232.1:1-757
ADI79236.1:1-767	ASV61244.1:1-757
ADI79236.1:1-767	ASV61256.1:1-757
ADI79236.1:1-767	ASV61268.1:1-757
ADI79236.1:1-767	ASV61280.1:1-757
ADI79236.1:1-767	ASV61292.1:1-757
ADI79236.1:1-767	ASV61304.1:1-757
ADI79236.1:1-767	ASV61316.1:1-757
ADI79236.1:1-767	ASV61328.1:1-757
ADI79236.1:1-767	ASV61340.1:1-757
ADI79236.1:1-767	ASV61352.1:1-757
ADI79236.1:1-767	ASV61364.1:1-757
ADI79236.1:1-767	ASV61376.1:1-757
ADI79236.1:1-767	ASV61388.1:1-757
ADI79236.1:1-767	ASV61400.1:1-757
ADI79236.1:1-767	ASV61412.1:1-757
ADI79236.1:1-767	ASV61424.1:1-757
ADI79236.1:1-767	ASV61436.1:1-757
ADI79236.1:1-767	ASV61448.1:1-757
ADI79236.1:1-767	ASV61460.1:1-757
ADI79236.1:1-767	ASV61472.1:1-757
ADI79236.1:1-767	ASV61484.1:1-757
ADI79236.1:1-767	ASV61496.1:1-757
ADI79236.1:1-767	ASV61508.1:1-757
ADI79236.1:1-767	ASV61520.1:1-757
ADI79236.1:1-767	ASV61532.1:1-757
ADI79236.1:1-767	ASV61544.1:1-757
ADI79236.1:1-767	ASV61556.1:1-757
ADI79236.1:1-767	ASV61568.1:1-757
ADI79236.1:1-767	ASV61580.1:1-757
ADI79236.1:1-767	ASV61592.1:1-757
ADI79236.1:1-767	ASV61604.1:1-757
ADI79236.1:1-767	ASV61616.1:1-757
ADI79236.1:1-767	ASV61628.1:1-757
ADI79236.1:1-767	ASV61640.1:1-757
ADI79236.1:1-767	ASV61652.1:1-757
ADI79236.1:1-767	ASV61664.1:1-757
ADI79236.1:1-767	ASV61676.1:1-757
ADI79236.1:1-767	ASV61688.1:1-757
ADI79236.1:1-767	ASV61700.1:1-757
ADI79236.1:1-767	ASV61712.1:1-757
ADI79236.1:1-767	ASV61724.1:1-757
ADI79236.1:1-767	ASV61736.1:1-757
ADI79236.1:1-767	ASV61748.1:1-757
ADI79236.1:1-767	ASV61760.1:1-757
ADI79236.1:1-767	ASV61772.1:1-757
ADI79236.1:1-767	ASV61784.1:1-757
ADI79236.1:1-767	ASV61796.1:1-757
ADI79236.1:1-767	ASV61808.1:1-757
ADI79236.1:1-767	ASV61820.1:1-757
ADI79236.1:1-767	ASV61832.1:1-757
ADI79236.1:1-767	ASV61844.1:1-757
ADI79236.1:1-767	ASV61856.1:1-757
ADI79236.1:1-767	ASV61868.1:1-757
ADI79236.1:1-767	ASV61880.1:1-757
ADI79236.1:1-767	ASV61892.1:1-757
ADI79236.1:1-767	ASV61904.1:1-757
ADI79236.1:1-767	ASV61916.1:1-757
ADI79236.1:1-767	ASV61928.1:1-757
ADI79236.1:1-767	ASV61940.1:1-757
ADI79236.1:1-767	ASV61952.1:1-757
ADI79236.1:1-767	ASV61964.1:1-757
ADI79236.1:1-767	ASW34102.1:1-757
ADI79236.1:1-767	ASW34181.2:1-757
ADI79236.1:1-767	ASW34194.2:1-757
ADI79236.1:1-767	ASW34205.2:1-757
ADI79236.1:1-767	ASW34217.2:1-757
ADI79236.1:1-767	ASW34291.2:1-758
ADI79236.1:1-767	ASW34304.1:1-757
ADI79236.1:1-767	ASW34316.1:1-758
ADI79236.1:1-767	ASW34327.1:1-758
ADI79236.1:1-767	ASW34339.1:1-758
ADI79236.1:1-767	ASW34351.1:1-758
ADI79236.1:1-767	ASW34363.1:1-758
ADI79236.1:1-767	ASW34375.1:1-758
ADI79236.1:1-767	ASW34387.1:1-758
ADI79236.1:1-767	ASW34399.1:1-758
ADI79236.1:1-767	ASW34411.1:1-758
ADI79236.1:1-767	ASW34423.1:1-758
ADI79236.1:1-767	ASW34435.1:1-758
ADI79236.1:1-767	ASY98723.1:1-757
ADI79236.1:1-767	ASY98748.1:1-757
ADI79236.1:1-767	ASY98780.1:1-757
ADI79236.1:1-767	ASY98839.1:1-757
ADI79236.1:1-767	ASY98843.1:1-757
ADI79236.1:1-767	ASY98858.1:1-757
ADI79236.1:1-767	ASY98889.1:1-757
ADI79236.1:1-767	ASY98902.1:1-757
ADI79236.1:1-767	ASY98915.1:1-757
ADI79236.1:1-767	ASY98943.1:1-757
ADI79236.1:1-767	ASY98964.1:1-757
ADI79236.1:1-767	ASY98968.1:1-757
ADI79236.1:1-767	ASY98980.1:1-757
ADI79236.1:1-767	ASY98998.1:1-757
ADI79236.1:1-767	ASY99014.1:1-757
ADI79236.1:1-767	ASY99028.1:1-757
ADI79236.1:1-767	ASY99035.1:1-757
ADI79236.1:1-767	ASY99049.1:1-757
ADI79236.1:1-767	ASY99068.1:1-757
ADI79236.1:1-767	ASY99080.1:1-757
ADI79236.1:1-767	ASY99091.1:1-757
ADI79236.1:1-767	ASY99110.1:1-757
ADI79236.1:1-767	ASY99113.1:1-757
ADI79236.1:1-767	ASY99135.1:1-757
ADI79236.1:1-767	ASY99153.1:1-757
ADI79236.1:1-767	ASY99164.1:1-757
ADI79236.1:1-767	ASY99176.1:1-757
ADI79236.1:1-767	ASY99181.1:1-757
ADI79236.1:1-767	ASY99193.1:1-757
ADI79236.1:1-767	ASY99209.1:1-757
ADI79236.1:1-767	ASY99251.1:1-757
ADI79236.1:1-767	ASY99263.1:1-757
ADI79236.1:1-767	ASY99268.1:1-757
ADI79236.1:1-767	ASY99280.1:1-757
ADI79236.1:1-767	ASY99291.1:1-757
ADI79236.1:1-767	ASY99307.1:1-757
ADI79236.1:1-767	ASY99322.1:1-757
ADI79236.1:1-767	ASY99328.1:1-757
ADI79236.1:1-767	ASY99344.1:1-757
ADI79236.1:1-767	ASY99359.1:1-757
ADI79236.1:1-767	ASY99367.1:1-757
ADI79236.1:1-767	ASY99383.1:1-757
ADI79236.1:1-767	ASY99386.1:1-757
ADI79236.1:1-767	ASY99398.1:1-757
ADI79236.1:1-767	ASY99413.1:1-757
ADI79236.1:1-767	ASY99432.1:1-757
ADI79236.1:1-767	ASY99443.1:1-757
ADI79236.1:1-767	ASY99448.1:1-757
ADI79236.1:1-767	ASY99465.1:1-757
ADI79236.1:1-767	ASY99472.1:1-757
ADI79236.1:1-767	ASY99491.1:1-757
ADI79236.1:1-767	ASY99496.1:1-757
ADI79236.1:1-767	ASY99512.1:1-757
ADI79236.1:1-767	ASY99519.1:1-757
ADI79236.1:1-767	ASY99538.1:1-757
ADI79236.1:1-767	ASY99552.1:1-757
ADI79236.1:1-767	ASY99557.1:1-757
ADI79236.1:1-767	ASY99574.1:1-757
ADI79236.1:1-767	ASY99589.1:1-757
ADI79236.1:1-767	ASY99611.1:1-757
ADI79236.1:1-767	ASY99626.1:1-757
ADI79236.1:1-767	ASY99630.1:1-757
ADI79236.1:1-767	ASY99649.1:1-757
ADI79236.1:1-767	ASY99925.1:1-757
ADI79236.1:1-767	ASY99937.1:1-757
ADI79236.1:1-767	ASY99944.1:1-757
ADI79236.1:1-767	ATB53363.1:1-757
ADI79236.1:1-767	ATB53375.1:1-730
ADI79236.1:1-767	ATB53387.1:1-742
ADI79236.1:1-767	ATB53399.1:1-633
ADI79236.1:1-767	ATB53410.1:1-745
ADI79236.1:1-767	ATB53422.1:1-737
ADI79236.1:1-767	ATB53442.1:1-757
ADI79236.1:1-767	ATB53454.1:1-757
ADI79236.1:1-767	ATB53456.1:1-757
ADI79236.1:1-767	ATB53468.1:1-757
ADI79236.1:1-767	ATB53480.1:1-757
ADI79236.1:1-767	ATB53492.1:1-757
ADI79236.1:1-767	ATB53512.1:1-757
ADI79236.1:1-767	ATB53529.1:1-757
ADI79236.1:1-767	ATE48565.1:1-757
ADI79236.1:1-767	ATE48577.1:1-757
ADI79236.1:1-767	ATE48589.1:1-757
ADI79236.1:1-767	ATE48601.1:1-757
ADI79236.1:1-767	ATE48613.1:1-757
ADI79236.1:1-767	ATG84486.1:1-757
ADI79236.1:1-767	ATG84502.1:1-757
ADI79236.1:1-767	ATG84510.1:1-757
ADI79236.1:1-767	ATG84523.1:1-757
ADI79236.1:1-767	ATG84534.1:1-758
ADI79236.1:1-767	ATG84543.1:1-757
ADI79236.1:1-767	ATG84561.1:1-757
ADI79236.1:1-767	ATG84649.1:1-757
ADI79236.1:1-767	ATG84651.1:1-757
ADI79236.1:1-767	ATG84652.1:1-757
ADI79236.1:1-767	ATG84653.1:1-757
ADI79236.1:1-767	ATI21331.1:1-757
ADI79236.1:1-767	ATI21651.1:1-757
ADI79236.1:1-767	ATI25950.1:1-757
ADI79236.1:1-767	ATL63278.1:1-758
ADI79236.1:1-767	ATN44503.1:1-757
ADI79236.1:1-767	ATN44818.1:1-757
ADI79236.1:1-767	ATN44828.1:1-757
ADI79236.1:1-767	ATO94020.1:1-757
ADI79236.1:1-767	ATO94022.1:1-757
ADI79236.1:1-767	ATO94024.1:1-757
ADI79236.1:1-767	ATO94026.1:1-757
ADI79236.1:1-767	ATO94028.1:1-757
ADI79236.1:1-767	ATO98059.1:1-757
ADI79236.1:1-767	ATO98071.1:1-757
ADI79236.1:1-767	ATO98082.1:1-757
ADI79236.1:1-767	ATO98093.1:1-757
ADI79236.1:1-767	ATP16204.1:1-755
ADI79236.1:1-767	ATP16882.1:1-757
ADI79236.1:1-767	ATP16894.1:1-757
ADI79236.1:1-767	ATP16906.1:1-757
ADI79236.1:1-767	ATP16918.1:1-757
ADI79236.1:1-767	ATP60707.1:1-757
ADI79236.1:1-767	ATP60721.1:1-757
ADI79236.1:1-767	ATP60734.1:1-757
ADI79236.1:1-767	ATP60749.1:1-757
ADI79236.1:1-767	ATP60755.1:1-757
ADI79236.1:1-767	ATP60766.1:1-757
ADI79236.1:1-767	ATP60799.1:1-757
ADI79236.1:1-767	ATP60803.1:1-757
ADI79236.1:1-767	ATP60819.1:1-757
ADI79236.1:1-767	ATP60843.1:1-757
ADI79236.1:1-767	ATP60848.1:1-757
ADI79236.1:1-767	ATP60884.1:1-757
ADI79236.1:1-767	ATP60892.1:1-757
ADI79236.1:1-767	ATP60991.1:1-757
ADI79236.1:1-767	ATP61014.1:1-757
ADI79236.1:1-767	ATP61016.1:1-757
ADI79236.1:1-767	ATP61072.1:1-757
ADI79236.1:1-767	ATP61097.1:1-757
ADI79236.1:1-767	ATP61100.1:1-757
ADI79236.1:1-767	ATP61105.1:1-757
ADI79236.1:1-767	ATP61127.1:1-757
ADI79236.1:1-767	ATP61133.1:1-757
ADI79236.1:1-767	ATP61157.1:1-757
ADI79236.1:1-767	ATP61183.1:1-757
ADI79236.1:1-767	ATP61200.1:1-757
ADI79236.1:1-767	ATP61228.1:1-757
ADI79236.1:1-767	ATP61230.1:1-757
ADI79236.1:1-767	ATP61242.1:1-757
ADI79236.1:1-767	ATQ38873.1:1-757
ADI79236.1:1-767	ATQ38885.1:1-757
ADI79236.1:1-767	ATQ38897.1:1-757
ADI79236.1:1-767	ATQ38949.1:1-757
ADI79236.1:1-767	ATQ38961.1:1-757
ADI79236.1:1-767	ATQ38973.1:1-757
ADI79236.1:1-767	ATQ38985.1:1-757
ADI79236.1:1-767	ATQ38997.1:1-757
ADI79236.1:1-767	ATW74932.1:1-757
ADI79236.1:1-767	ATW74963.1:1-757
ADI79236.1:1-767	ATY41013.1:1-757
ADI79236.1:1-767	ATY41031.1:1-757
ADI79236.1:1-767	ATY41043.1:1-757
ADI79236.1:1-767	ATY41056.1:1-757
ADI79236.1:1-767	ATY41068.1:1-757
ADI79236.1:1-767	ATY41080.1:1-757
ADI79236.1:1-767	ATY41098.1:1-757
ADI79236.1:1-767	ATY41116.1:1-757
ADI79236.1:1-767	ATY41128.1:1-757
ADI79236.1:1-767	ATY41140.1:1-757
ADI79236.1:1-767	ATY72555.1:1-757
ADI79236.1:1-767	ATY72562.1:1-757
ADI79236.1:1-767	ATY72579.1:1-757
ADI79236.1:1-767	ATY72588.1:1-757
ADI79236.1:1-767	ATY72594.1:1-757
ADI79236.1:1-767	ATY72615.1:1-757
ADI79236.1:1-767	ATY72620.1:1-757
ADI79236.1:1-767	ATY72630.1:1-757
ADI79236.1:1-767	ATY72643.1:1-757
ADI79236.1:1-767	ATY72653.1:1-757
ADI79236.1:1-767	ATY72673.1:1-757
ADI79236.1:1-767	ATY72682.1:1-757
ADI79236.1:1-767	ATY72697.1:1-757
ADI79236.1:1-767	ATY72707.1:1-757
ADI79236.1:1-767	ATY72718.1:1-757
ADI79236.1:1-767	ATY72725.1:1-757
ADI79236.1:1-767	ATY72747.1:1-757
ADI79236.1:1-767	ATY72759.1:1-757
ADI79236.1:1-767	ATY72767.1:1-757
ADI79236.1:1-767	ATY72783.1:1-757
ADI79236.1:1-767	ATY72795.1:1-757
ADI79236.1:1-767	ATY72801.1:1-757
