Seq	UID	Host	CTDT_charge.Tr1221	CTDT_secondarystruct.Tr1221	CTDT_solventaccess.Tr1331	CTDT_hydrophobicity_CASG920101.Tr1331	CTDT_hydrophobicity_ARGP820101.Tr2332	CTDT_polarizability.Tr1331	CTDT_hydrophobicity_ARGP820101.Tr1221	CTDT_hydrophobicity_ZIMJ680101.Tr1331
ACZ48572_XZB454WVI_Avian_1995	XZB454WVI	Avian	0.15370019	0.227703985	0.193548387	0.166982922	0.159392789	0.136622391	0.250474383	0.292220114
ACZ48654_ZKB810LCU_Avian_2001	ZKB810LCU	Avian	0.14800759	0.237191651	0.193548387	0.15370019	0.159392789	0.144212524	0.246679317	0.294117647
AHB52074_EQT173IAL_Suidae_2004.916667	EQT173IAL	Suidae	0.163187856	0.233396584	0.218216319	0.176470588	0.163187856	0.146110057	0.24288425	0.292220114
ACZ48655_HCA265YMR_Avian_2001	HCA265YMR	Avian	0.147727273	0.238636364	0.195075758	0.15530303	0.160984848	0.147727273	0.246212121	0.297348485
ACN59666_ING955RLZ_Avian_2002.802778	ING955RLZ	Avian	0.173913043	0.255198488	0.192816635	0.156899811	0.141776938	0.156899811	0.262759924	0.281663516
ACN59696_CLQ589EQA_Avian_2004.858333	CLQ589EQA	Avian	0.168241966	0.255198488	0.192816635	0.151228733	0.141776938	0.153119093	0.266540643	0.270321361
ACN59726_PDL231TYB_Avian_2001.275	PDL231TYB	Avian	0.175803403	0.247637051	0.206049149	0.145557656	0.141776938	0.162570888	0.270321361	0.262759924
ACN59776_EHQ823OAW_Avian_2004.886111	EHQ823OAW	Avian	0.175803403	0.241965974	0.206049149	0.147448015	0.149338374	0.15879017	0.266540643	0.274102079
ACN59786_DVS562DNA_Avian_2005.052778	DVS562DNA	Avian	0.179584121	0.247637051	0.213610586	0.149338374	0.151228733	0.160680529	0.268431002	0.281663516
ACN59806_GHB462GGK_Avian_2003.219444	GHB462GGK	Avian	0.168241966	0.247637051	0.200378072	0.155009452	0.13610586	0.156899811	0.264650284	0.27221172
ACN59816_EAQ873MRE_Avian_2002.108333	EAQ873MRE	Avian	0.179584121	0.243856333	0.20415879	0.147448015	0.143667297	0.156899811	0.27221172	0.27221172
ACN59826_ATF287PVA_Avian_2002.969444	ATF287PVA	Avian	0.172022684	0.243856333	0.206049149	0.155009452	0.145557656	0.156899811	0.274102079	0.270321361
ACN59846_HXI525CUB_Avian_2002.858333	HXI525CUB	Avian	0.170132325	0.255198488	0.192816635	0.156899811	0.139886578	0.155009452	0.260869565	0.285444234
ACS93988_PXT959JHW_Avian_1966.002778	PXT959JHW	Avian	0.160680529	0.24952741	0.196597353	0.155009452	0.156899811	0.15879017	0.257088847	0.270321361
ACY80647_JFM541MSD_Avian_2006	JFM541MSD	Avian	0.144465291	0.228893058	0.191369606	0.161350844	0.157598499	0.142589118	0.247654784	0.296435272
AKJ81096_KYI430OZS_Suidae_2011.125	KYI430OZS	Suidae	0.176360225	0.208255159	0.202626642	0.159474672	0.135084428	0.168855535	0.272045028	0.300187617
ABV46640_OKF656JTH_Avian_2004	OKF656JTH	Avian	0.168539326	0.243445693	0.207865169	0.144194757	0.146067416	0.157303371	0.271535581	0.271535581
ABV46887_NQC513NMS_Avian_2004	NQC513NMS	Avian	0.174157303	0.254681648	0.20411985	0.142322097	0.146067416	0.153558052	0.267790262	0.275280899
ABV46897_QKT293RMZ_Avian_2004	QKT293RMZ	Avian	0.170411985	0.256554307	0.205992509	0.147940075	0.142322097	0.157303371	0.267790262	0.277153558
ABV46993_LPU066BMD_Avian_2005	LPU066BMD	Avian	0.164794007	0.252808989	0.205992509	0.147940075	0.140449438	0.153558052	0.27340824	0.277153558
ABV47004_TTK182NFS_Avian_2005	TTK182NFS	Avian	0.168539326	0.252808989	0.20411985	0.151685393	0.138576779	0.155430712	0.282771536	0.275280899
ABV47289_BZL721IFQ_Avian_2004	BZL721IFQ	Avian	0.18164794	0.241573034	0.205992509	0.149812734	0.138576779	0.161048689	0.267790262	0.279026217
ABV47333_ARE608ALR_Avian_2005	ARE608ALR	Avian	0.18164794	0.241573034	0.20411985	0.144194757	0.140449438	0.161048689	0.269662921	0.277153558
ABV47465_QNE554LXZ_Avian_2005	QNE554LXZ	Avian	0.168539326	0.256554307	0.20411985	0.155430712	0.140449438	0.155430712	0.280898876	0.279026217
ABV47498_CUZ541WQZ_Avian_2002	CUZ541WQZ	Avian	0.177902622	0.239700375	0.20411985	0.142322097	0.142322097	0.162921348	0.275280899	0.27340824
ABV47531_ACM100RSN_Avian_2003	ACM100RSN	Avian	0.18164794	0.239700375	0.20411985	0.142322097	0.142322097	0.164794007	0.271535581	0.27340824
ABV47542_VNU520SZN_Avian_2003	VNU520SZN	Avian	0.18164794	0.245318352	0.20411985	0.146067416	0.142322097	0.164794007	0.271535581	0.27340824
ABV47674_MHB243DLB_Avian_2000	MHB243DLB	Avian	0.174157303	0.24906367	0.198501873	0.146067416	0.134831461	0.155430712	0.267790262	0.279026217
ABV47729_NBH237KKU_Avian_2004	NBH237KKU	Avian	0.155430712	0.243445693	0.191011236	0.153558052	0.153558052	0.153558052	0.252808989	0.279026217
ABV47751_ICR679OHI_Avian_2004	ICR679OHI	Avian	0.166666667	0.241573034	0.189138577	0.149812734	0.153558052	0.153558052	0.260299625	0.269662921
ABV47762_TCR927KWT_Avian_2005	TCR927KWT	Avian	0.168539326	0.25093633	0.20411985	0.151685393	0.142322097	0.153558052	0.279026217	0.275280899
ABV48147_THS604DAS_Avian_2004	THS604DAS	Avian	0.168539326	0.239700375	0.207865169	0.144194757	0.146067416	0.157303371	0.271535581	0.269662921
ADF29830_LHM869TGV_Avian_2006.438889	LHM869TGV	Avian	0.153558052	0.243445693	0.202247191	0.151685393	0.149812734	0.147940075	0.254681648	0.269662921
AGQ81077_JVA853UFY_Avian_2006	JVA853UFY	Avian	0.166666667	0.252808989	0.20411985	0.155430712	0.140449438	0.157303371	0.284644195	0.279026217
AF508566_TBN466XEG_Avian_1997	TBN466XEG	Avian	0.162616822	0.241121495	0.2	0.143925234	0.142056075	0.160747664	0.265420561	0.269158879
ACU87155_STS055QAV_Avian_2009.25	STS055QAV	Avian	0.173831776	0.241121495	0.2	0.153271028	0.164485981	0.140186916	0.269158879	0.282242991
AHB52255_ETE817DRN_Suidae_2009.519444	ETE817DRN	Suidae	0.14738806	0.229477612	0.212686567	0.167910448	0.134328358	0.143656716	0.257462687	0.309701493
ASJ81665_GYV564WII_Avian_2015.616667	GYV564WII	Avian	0.163829787	0.214893617	0.195744681	0.144680851	0.129787234	0.14893617	0.261702128	0.293617021
AGQ81066_ECY975JEF_Avian_2005	ECY975JEF	Avian	0.172541744	0.256029685	0.200371058	0.146567718	0.146567718	0.155844156	0.263450835	0.278293135
ACU87171_RQA417FGL_Avian_2008.75	RQA417FGL	Avian	0.187037037	0.227777778	0.194444444	0.15	0.166666667	0.140740741	0.261111111	0.287037037
ADM95453_MXL173JLU_Avian_2005.105556	MXL173JLU	Avian	0.155555556	0.231481481	0.175925926	0.159259259	0.162962963	0.140740741	0.242592593	0.281481481
AKM14215_UGO858KEL_Avian_2008.538889	UGO858KEL	Avian	0.160813309	0.251386322	0.203327172	0.184842884	0.136783734	0.164510166	0.25323475	0.303142329
BAP28732_KFM281OAX_Avian_2014.133333	KFM281OAX	Avian	0.168207024	0.247689464	0.19038817	0.184842884	0.153419593	0.129390018	0.245841035	0.292051756
ACD65199_WUM556YSE_Suidae_2007	WUM556YSE	Suidae	0.160516605	0.236162362	0.206642066	0.158671587	0.164206642	0.142066421	0.247232472	0.284132841
ACY67455_VSA594MEZ_Avian_2007.597222	VSA594MEZ	Avian	0.162361624	0.243542435	0.197416974	0.184501845	0.134686347	0.158671587	0.254612546	0.298892989
BAP28721_PRK027KBK_Avian_2013.563889	PRK027KBK	Avian	0.17896679	0.230627306	0.195571956	0.142066421	0.166051661	0.149446494	0.265682657	0.289667897
ACS93982_SXG053ALW_Avian_1973	SXG053ALW	Avian	0.158379374	0.26335175	0.217311234	0.154696133	0.145488029	0.152854512	0.244935543	0.276243094
AF508568_GEY974HBJ_Avian_1999	GEY974HBJ	Avian	0.171270718	0.250460405	0.209944751	0.14732965	0.154696133	0.173112339	0.267034991	0.278084715
AGF69153_OQA467MUU_Avian_2011.85	OQA467MUU	Avian	0.167587477	0.250460405	0.182320442	0.182320442	0.152854512	0.132596685	0.243093923	0.296500921
ADZ54073_FKL852KGU_Avian_2009.666667	FKL852KGU	Avian	0.143382353	0.233455882	0.193014706	0.161764706	0.15625	0.139705882	0.235294118	0.294117647
ACH85531_ZQE554GCU_Avian_1973	ZQE554GCU	Avian	0.147058824	0.242647059	0.181985294	0.147058824	0.159926471	0.134191176	0.242647059	0.277573529
AIL90217_HEE298ZYR_Suidae_2012.608333	HEE298ZYR	Suidae	0.170642202	0.234862385	0.209174312	0.198165138	0.163302752	0.144954128	0.240366972	0.306422018
AKV57648_XVQ821YUK_Avian_2011.247222	XVQ821YUK	Avian	0.166972477	0.255045872	0.185321101	0.181651376	0.157798165	0.132110092	0.240366972	0.295412844
BAG07140_HDW409RJU_Avian_2007	HDW409RJU	Avian	0.143119266	0.231192661	0.187155963	0.150458716	0.163302752	0.137614679	0.236697248	0.286238532
AGQ81072_HKA973UMM_Avian_2006	HKA973UMM	Avian	0.164835165	0.254578755	0.203296703	0.159340659	0.146520147	0.159340659	0.272893773	0.283882784
ABM21881_NWI803KMH_Avian_2003	NWI803KMH	Avian	0.173674589	0.255941499	0.212065814	0.144424132	0.153564899	0.168190128	0.263254113	0.276051188
ACZ48566_KLO724EKX_Avian_2001	KLO724EKX	Avian	0.162705667	0.226691042	0.193784278	0.153564899	0.153564899	0.138939671	0.263254113	0.281535649
AFP99724_TZS486NFA_Avian_2006.897222	TZS486NFA	Avian	0.142595978	0.23583181	0.199268739	0.155393053	0.15904936	0.138939671	0.237659963	0.290676417
AFP99735_IIQ658LLY_Avian_2006.922222	IIQ658LLY	Avian	0.142595978	0.234003656	0.193784278	0.155393053	0.157221207	0.138939671	0.239488117	0.29250457
AFP99746_LMP341LHY_Avian_2008.905556	LMP341LHY	Avian	0.140767824	0.232175503	0.193784278	0.155393053	0.157221207	0.137111517	0.239488117	0.29250457
AHB73934_PGH769UYT_Avian_2012.888889	PGH769UYT	Avian	0.162705667	0.257769653	0.197440585	0.144424132	0.148080439	0.162705667	0.268738574	0.270566728
ALP31297_WNF234OLG_Avian_2012	WNF234OLG	Avian	0.162705667	0.257769653	0.206581353	0.162705667	0.142595978	0.149908592	0.255941499	0.294332724
AF508567_ZXM461GOQ_Avian_2000	ZXM461GOQ	Avian	0.166058394	0.25729927	0.198905109	0.147810219	0.144160584	0.164233577	0.26459854	0.275547445
ACK43686_YEE843AOC_Avian_2006.805556	YEE843AOC	Avian	0.14571949	0.227686703	0.183970856	0.154826958	0.163934426	0.14571949	0.247723133	0.285974499
ACY29899_DWK443WRP_Avian_2007	DWK443WRP	Avian	0.171220401	0.256830601	0.198542805	0.163934426	0.147540984	0.163934426	0.273224044	0.282331512
ACZ48579_PBK460LJZ_Avian_1996	PBK460LJZ	Avian	0.151183971	0.227686703	0.189435337	0.16575592	0.158469945	0.136612022	0.249544627	0.287795993
AKH14494_NMG153OCJ_Avian_2012.855556	NMG153OCJ	Avian	0.154826958	0.247723133	0.193078324	0.147540984	0.158469945	0.163934426	0.245901639	0.273224044
ANN00059_CDZ418BCB_Hominidae_2016.161111	CDZ418BCB	Hominidae	0.189781022	0.244525547	0.195255474	0.21350365	0.182481752	0.166058394	0.248175182	0.310218978
ANN00239_MOS072XRH_Hominidae_2016.144444	MOS072XRH	Hominidae	0.18579235	0.242258652	0.194899818	0.213114754	0.180327869	0.162112933	0.249544627	0.31147541
ACR83995_YJF260BOP_Suidae_1993.533333	YJF260BOP	Suidae	0.161818182	0.229090909	0.216363636	0.161818182	0.165454545	0.141818182	0.249090909	0.28
AEK70671_TWU938RAV_Avian_2006.647222	TWU938RAV	Avian	0.147810219	0.229927007	0.191605839	0.151459854	0.158759124	0.142335766	0.251824818	0.277372263
AHB73914_MRW797ZUC_Avian_2012.858333	MRW797ZUC	Avian	0.163636364	0.254545455	0.198181818	0.143636364	0.145454545	0.165454545	0.26	0.270909091
AHB73944_CMH137NKR_Avian_2012.888889	CMH137NKR	Avian	0.167272727	0.256363636	0.198181818	0.145454545	0.149090909	0.163636364	0.267272727	0.270909091
AKM13976_LJE196ERH_Avian_2010.919444	LJE196ERH	Avian	0.167272727	0.238181818	0.212727273	0.176363636	0.187272727	0.143636364	0.223636364	0.296363636
AMQ26255_YAQ356CUT_Avian_2008.655556	YAQ356CUT	Avian	0.137254902	0.274509804	0.162464986	0.182072829	0.151260504	0.117647059	0.246498599	0.296918768
AAG10662_BUF192GSI_Avian_1963	BUF192GSI	Avian	0.150635209	0.24137931	0.192377495	0.183303085	0.139745917	0.161524501	0.266787659	0.286751361
ABY51437_DJB431PIQ_Avian_2006	DJB431PIQ	Avian	0.172413793	0.250453721	0.208711434	0.186932849	0.141560799	0.166969147	0.255898367	0.301270417
ACF25499_UDG551YEL_Avian_2004	UDG551YEL	Avian	0.163339383	0.246823956	0.19600726	0.188747731	0.141560799	0.159709619	0.248638838	0.301270417
ACY29892_QRT070BIB_Avian_2006	QRT070BIB	Avian	0.172413793	0.261343013	0.203266788	0.159709619	0.148820327	0.168784029	0.274047187	0.272232305
ACY29898_QIL301QHC_Avian_2007	QIL301QHC	Avian	0.168784029	0.255898367	0.199637024	0.165154265	0.150635209	0.161524501	0.268602541	0.281306715
ACY29900_RQM607DSE_Avian_2007	RQM607DSE	Avian	0.166969147	0.261343013	0.194192377	0.157894737	0.150635209	0.163339383	0.268602541	0.275862069
ACY29903_AWV869FBW_Avian_2006	AWV869FBW	Avian	0.166969147	0.255898367	0.199637024	0.159709619	0.150635209	0.163339383	0.272232305	0.275862069
AGL97638_NTY790JRN_Avian_2008.733333	NTY790JRN	Avian	0.159709619	0.252268603	0.199637024	0.183303085	0.139745917	0.156079855	0.252268603	0.301270417
AGQ81109_PDV266ZWE_Avian_2009	PDV266ZWE	Avian	0.165454545	0.261818182	0.201818182	0.150909091	0.154545455	0.167272727	0.272727273	0.276363636
AIZ70078_NUV575DPW_Avian_2013	NUV575DPW	Avian	0.170289855	0.253623188	0.204710145	0.15942029	0.141304348	0.172101449	0.280797101	0.278985507
AIZ70079_GAO930ZTT_Avian_2013	GAO930ZTT	Avian	0.164855072	0.253623188	0.208333333	0.155797101	0.141304348	0.168478261	0.269927536	0.278985507
AKD00309_DLQ878YCV_Avian_2011.675	DLQ878YCV	Avian	0.164855072	0.260869565	0.204710145	0.157608696	0.14673913	0.164855072	0.27173913	0.275362319
ASV60658_HWA469QRJ_Avian_2016.658333	HWA469QRJ	Avian	0.147177419	0.215725806	0.205645161	0.153225806	0.141129032	0.141129032	0.241935484	0.29233871
AFJ18979_HTS327MCC_Avian_2010.166667	HTS327MCC	Avian	0.144665461	0.242314647	0.184448463	0.16636528	0.171790235	0.139240506	0.235081374	0.291139241
AFM09037_CQS425BCL_Avian_2006.358333	CQS425BCL	Avian	0.14673913	0.233695652	0.190217391	0.15942029	0.164855072	0.143115942	0.248188406	0.282608696
AFM09266_IYR602ICS_Avian_2006.380556	IYR602ICS	Avian	0.164556962	0.251356239	0.197106691	0.182640145	0.141048825	0.157323689	0.251356239	0.294755877
AFT65147_FUQ733HAQ_Avian_2009.841667	FUQ733HAQ	Avian	0.141048825	0.240506329	0.193490054	0.151898734	0.16636528	0.13562387	0.244122966	0.285714286
AFT65167_QOK840ICD_Avian_2009.838889	QOK840ICD	Avian	0.141048825	0.235081374	0.197106691	0.150090416	0.168173599	0.137432188	0.242314647	0.283905967
AFT65217_LGL441FAH_Avian_2009.822222	LGL441FAH	Avian	0.137432188	0.236889693	0.193490054	0.151898734	0.162748644	0.13562387	0.240506329	0.289330922
AFV33794_HFM161TIF_Suidae_2010.166667	HFM161TIF	Suidae	0.150090416	0.227848101	0.204339964	0.159132007	0.132007233	0.150090416	0.253164557	0.303797468
AGQ81079_DIW447VCA_Avian_2007	DIW447VCA	Avian	0.162748644	0.26039783	0.204339964	0.153707052	0.146473779	0.162748644	0.273056058	0.280289331
AGQ81107_RPF756HOI_Avian_2009	RPF756HOI	Avian	0.16636528	0.256781193	0.200723327	0.148282098	0.155515371	0.16636528	0.26039783	0.282097649
AIZ70081_TKG594QBI_Avian_2012	TKG594QBI	Avian	0.16636528	0.251356239	0.209764919	0.162748644	0.142857143	0.16636528	0.267631103	0.282097649
ABD65988_KAN812BMW_Avian_2002	KAN812BMW	Avian	0.157039711	0.238267148	0.19133574	0.146209386	0.162454874	0.13898917	0.250902527	0.292418773
ADY70586_ATK566VKY_Suidae_1993.719444	ATK566VKY	Suidae	0.13898917	0.222021661	0.214801444	0.160649819	0.129963899	0.14801444	0.241877256	0.301444043
AEK70472_NGX881WLY_Avian_2005.713889	NGX881WLY	Avian	0.126245847	0.215946844	0.189368771	0.139534884	0.136212625	0.142857143	0.262458472	0.292358804
AFJ18959_VJH066RGT_Avian_2007.916667	VJH066RGT	Avian	0.14801444	0.23465704	0.180505415	0.158844765	0.160649819	0.131768953	0.23465704	0.292418773
AEK84761_UBV360OSV_Avian_2011.083333	UBV360OSV	Avian	0.18018018	0.237837838	0.201801802	0.181981982	0.154954955	0.172972973	0.277477477	0.279279279
AGL97649_XWJ525VGF_Avian_2011.397222	XWJ525VGF	Avian	0.16036036	0.252252252	0.198198198	0.183783784	0.144144144	0.154954955	0.252252252	0.297297297
AGY42234_QGW932YBR_Avian_2002	QGW932YBR	Avian	0.140540541	0.237837838	0.192792793	0.153153153	0.163963964	0.142342342	0.23963964	0.295495495
AJM71127_PDC881FFH_Avian_2014.969444	PDC881FFH	Avian	0.162162162	0.259459459	0.207207207	0.16036036	0.138738739	0.167567568	0.27027027	0.275675676
AAD13570_RPR065QGQ_Avian_1977	RPR065QGQ	Avian	0.143884892	0.235611511	0.192446043	0.151079137	0.167266187	0.136690647	0.241007194	0.287769784
ACH85542_SDD209WFS_Avian_1991	SDD209WFS	Avian	0.147482014	0.23381295	0.190647482	0.143884892	0.174460432	0.14028777	0.241007194	0.285971223
ACU82462_DAN360OTG_Avian_2005.655556	DAN360OTG	Avian	0.145945946	0.232432432	0.185585586	0.158558559	0.165765766	0.140540541	0.248648649	0.293693694
ACZ48658_WII326VGC_Avian_2002	WII326VGC	Avian	0.142086331	0.239208633	0.194244604	0.15647482	0.165467626	0.142086331	0.241007194	0.29676259
ADG86151_VJV871AKS_Avian_2008.777778	VJV871AKS	Avian	0.161870504	0.248201439	0.196043165	0.185251799	0.143884892	0.154676259	0.251798561	0.300359712
ADG86153_LHF046ZKN_Avian_2008.677778	LHF046ZKN	Avian	0.158273381	0.25	0.199640288	0.185251799	0.142086331	0.154676259	0.25	0.300359712
ADG86154_IAT313YXK_Avian_2007.319444	IAT313YXK	Avian	0.161870504	0.25	0.199640288	0.185251799	0.145683453	0.154676259	0.25	0.300359712
AFM09439_YHW777WNL_Avian_2006.397222	YHW777WNL	Avian	0.160071942	0.248201439	0.199640288	0.183453237	0.145683453	0.154676259	0.25	0.29676259
AGL97627_YAP646KYE_Avian_2011.691667	YAP646KYE	Avian	0.158558559	0.248648649	0.198198198	0.185585586	0.142342342	0.153153153	0.25045045	0.300900901
AGQ81073_BIZ112JKK_Avian_2006	BIZ112JKK	Avian	0.165467626	0.255395683	0.205035971	0.161870504	0.145683453	0.163669065	0.273381295	0.278776978
AGQ81078_OTU104WJH_Avian_2007	OTU104WJH	Avian	0.167266187	0.260791367	0.205035971	0.15647482	0.145683453	0.15647482	0.273381295	0.276978417
AGQ81084_JRI556IWV_Avian_2007	JRI556IWV	Avian	0.165467626	0.258992806	0.210431655	0.15647482	0.147482014	0.163669065	0.275179856	0.275179856
AGQ81094_FCQ522LCM_Avian_2008	FCQ522LCM	Avian	0.169064748	0.255395683	0.201438849	0.151079137	0.154676259	0.165467626	0.260791367	0.28057554
AGQ81102_ESD071DNY_Avian_2008	ESD071DNY	Avian	0.165467626	0.260791367	0.20323741	0.15647482	0.145683453	0.158273381	0.276978417	0.276978417
AGQ81110_DHU520HRP_Avian_2009	DHU520HRP	Avian	0.165467626	0.258992806	0.205035971	0.161870504	0.145683453	0.161870504	0.273381295	0.282374101
AGQ81112_LHA207BZW_Avian_2009	LHA207BZW	Avian	0.165467626	0.257194245	0.206834532	0.158273381	0.147482014	0.160071942	0.275179856	0.278776978
AHB73894_BOF644QTP_Avian_2012.819444	BOF644QTP	Avian	0.161870504	0.258992806	0.20323741	0.165467626	0.145683453	0.161870504	0.269784173	0.28057554
AMQ26366_RTZ733KKB_Avian_2014.641667	RTZ733KKB	Avian	0.145683453	0.232014388	0.199640288	0.154676259	0.165467626	0.147482014	0.244604317	0.293165468
BAM75584_ZDL704FFH_Avian_2012.772222	ZDL704FFH	Avian	0.167266187	0.257194245	0.178057554	0.185251799	0.154676259	0.129496403	0.239208633	0.294964029
ACY29891_JDI373GUF_Avian_2007	JDI373GUF	Avian	0.166965889	0.258527828	0.195691203	0.156193896	0.150807899	0.161579892	0.26032316	0.274685817
ADI79238_ERV270WET_Avian_2006.15	ERV270WET	Avian	0.166965889	0.249551167	0.193895871	0.157989228	0.15978456	0.157989228	0.256732496	0.274685817
